modelo,mae,rmse,r2,kendall_tau,top3_accuracy,train_until,valid_season,decay,n_train,n_valid
xgboost,2.5759260654449463,3.2408662240898325,0.5938607454299927,0.6152430746224723,0.1363636363636363,2022,2023,0.95,1725,374
xgboost,2.2292635440826416,2.8845912335680826,0.6960891485214233,0.6789363113666521,0.1666666666666666,2023,2024,0.95,2099,425
xgboost,2.472341060638428,3.188507070585286,0.6200696229934692,0.6145095015064056,0.125,2024,2025,0.95,2524,419
random_forest,2.4729717341482047,3.1100620078157286,0.6259833904004377,0.6358107219768281,0.1818181818181818,2022,2023,0.95,1725,374
random_forest,2.3105613445378146,2.98714992303116,0.6740944883384477,0.6640675590046903,0.2083333333333333,2023,2024,0.95,2099,425
random_forest,2.5429389703375387,3.2112638930420285,0.6146270191826602,0.6065344119131555,0.25,2024,2025,0.95,2524,419
lightgbm,2.4568378446631707,3.105577496720587,0.6270612289546035,0.639016893604566,0.1818181818181818,2022,2023,0.95,1725,374
lightgbm,2.236406051391264,2.9253411563140865,0.6874419364638024,0.6758281528985863,0.125,2023,2024,0.95,2099,425
lightgbm,2.3952203606233144,3.108298748382337,0.6389438250101389,0.6243667001213441,0.2916666666666667,2024,2025,0.95,2524,419
