modelo,mae_medio,mae_std,rmse_medio,r2_medio,kendall_tau_medio,top3_accuracy_medio,melhor_fold,pior_fold
lightgbm,2.362821418892583,0.11373131688422801,3.046405800472337,0.6511489968095149,0.6464039155414988,0.1994949494949495,2024,2023
xgboost,2.4258435567220054,0.1779472936915898,3.1046548427477334,0.6366731723149618,0.6362296291651767,0.14267676767676762,2024,2023
random_forest,2.442157349674519,0.11921403005077977,3.102825274629639,0.6382349659738485,0.635470897631558,0.21338383838383837,2024,2025
