grupo,experimento,modelo,mae_medio,rmse_medio,r2_medio,kendall_tau_medio,top3_accuracy_medio,score_composto,score_tuning,tempo_tuning_segundos
target_retuned,XGBoost_target_delta_retuned,XGBoost,2.2657350309269244,3.003344377783577,0.6601374437733739,0.6575481426446573,0.2575757575757576,0.49973652843682753,0.5076681293598073,37.49141874600173
target_retuned,LightGBM_target_delta_retuned,LightGBM,2.2799827853470345,3.022420590842741,0.656155389777937,0.6512593106129084,0.25757575757575757,0.4981327069028502,0.5035591725793593,13.695807404001243
