grupo,experimento,modelo,mae_medio,rmse_medio,r2_medio,kendall_tau_medio,top3_accuracy_medio,score_composto
target,target_delta_grid_to_finish,LightGBM,2.2833458479516557,3.0474274829856185,0.6498013200475681,0.6471909806609357,0.29924242424242425,0.5030163813424411
ensemble,media_arvores,ensemble,2.3400316560026138,3.016457413944488,0.6579508181802131,0.6515490043013733,0.29797979797979796,0.5028128038708004
decay_sem_retuning,decay_0.95,LightGBM,2.322654900567454,3.0130544912399113,0.658595390531214,0.649988076085529,0.2840909090909091,0.5011392395792673
loss,lgb_objective_regression_l1,LightGBM,2.2928999992100887,3.027673214232793,0.6553918856516957,0.6493055938009483,0.27020202020202017,0.49934750206428974
decay_sem_retuning,decay_0.97,XGBoost,2.3499128818511963,3.022005765956306,0.6565426588058472,0.6535352755407403,0.27020202020202017,0.4983874888789044
target,target_delta_grid_to_finish,XGBoost,2.2828987771687332,3.0522818460784467,0.6482282217857294,0.6441760906245145,0.27020202020202017,0.498169568760944
features,baseline_13,LightGBM,2.326364940386781,3.014611194312024,0.6582273153506994,0.6529992837186587,0.2563131313131313,0.4971216889537039
decay_sem_retuning,decay_0.99,LightGBM,2.326364940386781,3.014611194312024,0.6582273153506994,0.6529992837186587,0.2563131313131313,0.4971216889537039
features,add_incident_rate_hist_norm,LightGBM,2.3300113523755788,3.0127725130791934,0.6586231259540486,0.6520632145251911,0.2563131313131313,0.4969860255333645
features,remove_avg_pit_stops_circuit,XGBoost,2.3361085255940757,3.012659599169775,0.6586068471272787,0.6534677810202015,0.2563131313131313,0.49696125534736735
features,baseline_13,XGBoost,2.3479488690694175,3.0206867922253466,0.656875212987264,0.6523437329610516,0.2563131313131313,0.49628302670053837
decay_sem_retuning,decay_0.99,XGBoost,2.3479488690694175,3.0206867922253466,0.656875212987264,0.6523437329610516,0.2563131313131313,0.49628302670053837
features,remove_season_factor,LightGBM,2.3383515937344215,3.027202503018492,0.6552524848899026,0.6492909698818071,0.255050505050505,0.4958233310176458
decay_sem_retuning,decay_1.00,XGBoost,2.3517905871073403,3.025153279945498,0.655857523282369,0.6501882394021665,0.2563131313131313,0.4958216059423621
features,remove_season_factor,XGBoost,2.355846405029297,3.032753168396059,0.6540497541427612,0.6505118357977445,0.2563131313131313,0.4954947865351872
loss,xgb_objective_reg:absoluteerror,XGBoost,2.3317724068959556,3.0352511493763825,0.653704305489858,0.6426115293809261,0.2563131313131313,0.49529312542051307
ensemble,lgb_70_xgb_30,ensemble,2.3307155296481117,3.013029300386785,0.6586124486805754,0.652430023771144,0.24242424242424243,0.494916866758703
decay_sem_retuning,decay_1.00,LightGBM,2.3249494827431625,3.0114477719775876,0.6589640943043626,0.6516610042013585,0.24116161616161616,0.49485667042992176
decay_sem_retuning,decay_0.98,LightGBM,2.3252820589293974,3.011972520270055,0.6588494351822164,0.6518570906860274,0.24116161616161616,0.4948508983336822
ensemble,media_lgb_xgb,ensemble,2.334931833190619,3.013597033826199,0.658492651814481,0.6529066622379786,0.24242424242424243,0.49483338861081005
decay_sem_retuning,decay_0.97,LightGBM,2.3260641600815735,3.0150417354844223,0.6581377035705082,0.650891431150883,0.24116161616161616,0.49463336454630225
features,remove_tire_compound_start,LightGBM,2.3310488217135306,3.0193526789703107,0.6570943074201961,0.651635677565523,0.24116161616161616,0.4944284072433066
features,remove_altitude_m,XGBoost,2.342640240987142,3.0197844523251125,0.6570349136988322,0.6527006898253522,0.24242424242424243,0.4944020435115162
ensemble,ridge_70_lgb_30,ensemble,2.2777422173798887,2.958645137774963,0.6707397820856609,0.6554303711641407,0.21464646464646464,0.49423215376123963
features,remove_tire_compound_start,XGBoost,2.3456531365712485,3.0228404538378655,0.6563600897789001,0.6527196502475608,0.24242424242424243,0.49422728705545793
ensemble,ridge_70_xgb_30,ensemble,2.2838468452609284,2.958259505047753,0.6708469341673619,0.6546388393290073,0.21464646464646464,0.4939972609842097
features,top8_importance_media,LightGBM,2.3390792834347036,3.0280702401571635,0.6549552319327164,0.650052675170481,0.24242424242424243,0.49394822875003525
decay_sem_retuning,decay_0.98,XGBoost,2.3512751261393228,3.024646206005869,0.6559651494026184,0.6508209121130126,0.24242424242424243,0.49383076438131934
features,top10_importance_media,LightGBM,2.336627223363402,3.0223738441263475,0.6565330842298209,0.6479978827916472,0.24116161616161613,0.4938299038319817
ensemble,ridge_50_lgb_50,ensemble,2.285948288821597,2.967139215375956,0.6688609060268336,0.6545083375924684,0.21464646464646464,0.4936423614780717
features,remove_grid_penalty,XGBoost,2.3553196589152017,3.029035879528255,0.6549549500147501,0.6504467833655609,0.24242424242424243,0.4935438191451149
features,top8_importance_media,XGBoost,2.3617099126180015,3.035426678127776,0.6533447106679281,0.6491871020233203,0.24242424242424243,0.4930279078925736
features,remove_avg_pit_stops_circuit,LightGBM,2.319348051627434,3.0107420687406528,0.6589029842943471,0.6516047601687506,0.2272727272727273,0.4929204399131399
features,add_driver_dnf_rate,LightGBM,2.3308277088556433,3.016273233854392,0.6579308493081119,0.6514388316241835,0.2272727272727273,0.4924436365216333
features,remove_altitude_m,LightGBM,2.330241238107719,3.021263458888925,0.6567343055040423,0.6505143710699883,0.2272727272727273,0.492201049996035
features,add_driver_dnf_rate,XGBoost,2.34690793355306,3.020421015458485,0.6569369435310364,0.6520381882722394,0.2285353535353535,0.4921223139373812
features,add_incident_rate_hist_norm,XGBoost,2.3459739685058594,3.0181003583866812,0.6573831041653951,0.6503679401623628,0.2285353535353535,0.4920464732351518
features,remove_grid_penalty,LightGBM,2.3360073430074166,3.0225820872708336,0.6563556800623651,0.6495941503812915,0.2272727272727273,0.4919032331643823
decay_sem_retuning,decay_0.95,XGBoost,2.3544615109761557,3.0224324904146944,0.6564847826957703,0.6505350505526413,0.2285353535353535,0.4917062868623474
features,top10_importance_media,XGBoost,2.3657590548197427,3.038690778371444,0.6527942419052124,0.6461220891555586,0.2285353535353535,0.490445625048886
loss,lgb_objective_fair,LightGBM,2.3044586165347742,3.0245184524403013,0.6558149220118483,0.6468237360065862,0.20075757575757577,0.48843547178031477
loss,lgb_objective_huber,LightGBM,3.1527565965246906,3.8140115099994496,0.45411006068823984,0.6307953864058303,0.18434343434343434,0.4395422757388394
loss,xgb_objective_reg:pseudohubererror,XGBoost,22.574660619099934,23.15783070165337,-19.125261942545574,,0.29924242424242425,0.2638210582606213
podio_classificador,XGBClassifier,XGBClassifier,,,,,0.27020202020202017,
podio_classificador,LightGBMClassifier,LightGBMClassifier,,,,,0.24116161616161613,
