season,round,driver_id,grid_position,finish_position,status,points,laps,RaceID,grid_position_zero_flag,status_normalizado,dnf_categoria,is_dnf,dnf_flag,dnf_driver_flag,dnf_car_flag,dnf_other_flag,compound_normalizado,compound_ordinal,circuito_70th Anniversary Grand Prix,circuito_Abu Dhabi Grand Prix,circuito_Australian Grand Prix,circuito_Austrian Grand Prix,circuito_Azerbaijan Grand Prix,circuito_Bahrain Grand Prix,circuito_Belgian Grand Prix,circuito_Brazilian Grand Prix,circuito_British Grand Prix,circuito_Canadian Grand Prix,circuito_Chinese Grand Prix,circuito_Dutch Grand Prix,circuito_Eifel Grand Prix,circuito_Emilia Romagna Grand Prix,circuito_French Grand Prix,circuito_German Grand Prix,circuito_Hungarian Grand Prix,circuito_Italian Grand Prix,circuito_Japanese Grand Prix,circuito_Las Vegas Grand Prix,circuito_Mexican Grand Prix,circuito_Mexico City Grand Prix,circuito_Miami Grand Prix,circuito_Monaco Grand Prix,circuito_Portuguese Grand Prix,circuito_Qatar Grand Prix,circuito_Russian Grand Prix,circuito_Sakhir Grand Prix,circuito_Saudi Arabian Grand Prix,circuito_Singapore Grand Prix,circuito_Spanish Grand Prix,circuito_Styrian Grand Prix,circuito_São Paulo Grand Prix,circuito_Turkish Grand Prix,circuito_Tuscan Grand Prix,circuito_United States Grand Prix,constructor_alfa,constructor_alphatauri,constructor_alpine,constructor_aston_martin,constructor_ferrari,constructor_force_india,constructor_haas,constructor_mclaren,constructor_mercedes,constructor_racing_point,constructor_rb,constructor_red_bull,constructor_renault,constructor_sauber,constructor_toro_rosso,constructor_williams,laps_zscore,grid_position_minmax,laps_minmax
2018,1,leclerc,18,13,Finished,0.0,58,leclerc_2018_1,0,finished,classificado,False,0,0,0,0,UNKNOWN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.14430312730363337,0.9,0.6627906976744186
2018,1,stroll,13,14,Finished,0.0,58,stroll_2018_1,0,finished,classificado,False,0,0,0,0,UNKNOWN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.14430312730363337,0.65,0.6627906976744186
2018,1,brendon_hartley,16,15,+1 Lap,0.0,57,brendon_hartley_2018_1,0,+1 lap,classificado,False,0,0,0,0,UNKNOWN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.23942485446852518,0.8,0.6511627906976744
2018,2,vettel,1,1,Finished,25.0,57,vettel_2018_2,0,finished,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.23942485446852518,0.05,0.6511627906976744
2018,2,bottas,3,2,Finished,18.0,57,bottas_2018_2,0,finished,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.23942485446852518,0.15000000000000002,0.6511627906976744
2018,2,hamilton,9,3,Finished,15.0,57,hamilton_2018_2,0,finished,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.23942485446852518,0.45,0.6511627906976744
2018,2,gasly,5,4,Finished,12.0,57,gasly_2018_2,0,finished,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.23942485446852518,0.25,0.6511627906976744
2018,2,kevin_magnussen,6,5,Finished,10.0,57,kevin_magnussen_2018_2,0,finished,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.23942485446852518,0.30000000000000004,0.6511627906976744
2018,2,hulkenberg,7,6,Finished,8.0,57,hulkenberg_2018_2,0,finished,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.23942485446852518,0.35000000000000003,0.6511627906976744
2018,2,alonso,13,7,+1 Lap,6.0,56,alonso_2018_2,0,+1 lap,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.334546581633417,0.65,0.6395348837209303
2018,2,vandoorne,14,8,+1 Lap,4.0,56,vandoorne_2018_2,0,+1 lap,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.334546581633417,0.7000000000000001,0.6395348837209303
2018,2,ericsson,17,9,+1 Lap,2.0,56,ericsson_2018_2,0,+1 lap,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.334546581633417,0.8500000000000001,0.6395348837209303
2018,2,ocon,8,10,+1 Lap,1.0,56,ocon_2018_2,0,+1 lap,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.334546581633417,0.4,0.6395348837209303
2018,2,sainz,10,11,+1 Lap,0.0,56,sainz_2018_2,0,+1 lap,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.334546581633417,0.5,0.6395348837209303
