driver_id,coef_rapm,target_definition,alpha,decay,season,round,race_name,race_order,n_train_rows,n_train_races
sainz,-0.07538907921265343,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
sirotkin,-1.4203179375147321,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
stroll,-0.7328760101837986,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
vandoorne,-0.9240703698874788,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
vettel,1.3443533108929366,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
alonso,0.6493904852631803,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
bottas,0.8608884110453233,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
brendon_hartley,-1.0895698228593496,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
ericsson,-0.9621650256902627,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
gasly,-0.1465376957740281,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
grosjean,-1.1640047217666685,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
hamilton,1.5506159608855727,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
hulkenberg,0.38283993701660274,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
kevin_magnussen,0.1050218900150146,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
leclerc,-0.4606161914290725,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
max_verstappen,0.7353157440326564,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
ocon,-0.043230749299339254,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
perez,-0.620603987753095,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
raikkonen,0.9898210052168888,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
ricciardo,1.227918445743531,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
sainz,-0.046384702740377155,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
sirotkin,-1.5448017390357367,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
