finish_position,season,round,grid_position_zero_flag,compound_ordinal,circuito_albert_park,circuito_americas,circuito_bahrain,circuito_bahrain_outer,circuito_baku,circuito_catalunya,circuito_hockenheim,circuito_hungaroring,circuito_imola,circuito_interlagos,circuito_istanbul,circuito_jeddah,circuito_las_vegas,circuito_losail,circuito_marina_bay,circuito_miami,circuito_monaco,circuito_monza,circuito_mugello,circuito_nurburgring,circuito_portimao,circuito_red_bull_ring,circuito_ricard,circuito_rodriguez,circuito_shanghai,circuito_silverstone,circuito_sochi,circuito_spa,circuito_suzuka,circuito_villeneuve,circuito_yas_marina,circuito_zandvoort,constructor_alfa,constructor_alphatauri,constructor_alpine,constructor_aston_martin,constructor_ferrari,constructor_force_india,constructor_haas,constructor_mclaren,constructor_mercedes,constructor_racing_point,constructor_rb,constructor_red_bull,constructor_renault,constructor_sauber,constructor_toro_rosso,constructor_williams,wet_compound_flag,corrida_chuva_flag,outlier_flag,status_falha_mecanica_flag,outlier_legitimo_flag,outlier_revisao_flag,outlier_espurio_flag,fastf1_laps_count_zscore,fastf1_avg_lap_time_zscore,fastf1_best_lap_time_zscore,fastf1_avg_sector1_zscore,fastf1_avg_sector2_zscore,fastf1_avg_sector3_zscore,fastf1_max_tyre_life_zscore,fastf1_stints_count_zscore,fastf1_pit_in_count_zscore,fastf1_pit_out_count_zscore,grid_position_minmax,laps_minmax,grid_penalty,altitude_m,corners,track_complexity,weather_impact_factor,safety_car_flag,tire_compound_start,season_factor,avg_pit_stops_circuit,avg_pit_stops_circuit_cold_start_flag,outlier_reclassificado_pos_contexto_flag,outlier_reclassificado_nao_feature_flag,incident_rate_hist,incident_rate_hist_norm,race_order,driver_coef_rapm,constructor_coef_rapm,recent_form_5,recent_form_3,recent_form_cold_start_flag,driver_experience,driver_wins_total,constructor_wins_total,driver_dnf_rate,constructor_dnf_rate,driver_constructor_synergy
11,2018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3609283632160192,-0.030044519812593,-0.0798580108470889,0.3172867756469428,-1.4127044308410746,1.1678930644863093,0.0532974661799874,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.55,0.6627906976744186,-1,13,16,0.3294793678980487,0.6819771923600386,1,0,2018,0.0,1,0,0,0.7248322147651006,0.7248322140402683,1,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
12,2018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3609283632160192,-0.015994524542632,-0.0818268702107274,0.3216714297450992,-1.4025700803183234,1.1828326361228192,0.1513461576073114,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.65,0.6627906976744186,-1,13,16,0.3294793678980487,0.6819771923600386,1,0,2018,0.0,1,0,0,0.7248322147651006,0.7248322140402683,1,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
13,2018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3609283632160192,0.0001638572101561,-0.0126781428635479,0.3090473350153584,-1.3868578129837204,1.208206381020423,-0.2408486081019845,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.85,0.6627906976744186,0,13,16,0.3294793678980487,0.6819771923600386,1,0,2018,0.0,1,0,0,0.7248322147651006,0.7248322140402683,1,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
14,2018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.3609283632160192,0.002803515336427,-0.0274744192933156,0.3366613831513695,-1.3752644956885016,1.181439844562377,-0.4369459909566326,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.6,0.6627906976744186,-1,13,16,0.3294793678980487,0.6819771923600386,1,0,2018,0.0,1,0,0,0.7248322147651006,0.7248322140402683,1,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
15,2018,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.406596259183396,0.0433538814694522,-0.047461324954493,0.3540995139451172,-1.3829780959881466,1.2619932966373413,-0.0447512252473365,-0.8443687333461517,-0.0358242679379436,-0.0640268011856944,0.75,0.6511627906976744,0,13,16,0.3294793678980487,0.6819771923600386,1,3,2018,0.0,1,0,0,0.7248322147651006,0.7248322140402683,1,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
1,2018,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.406596259183396,0.1781202127911016,0.3270395909715153,0.3336114654487718,0.636779142781905,-0.6939150881905132,0.5435409233166074,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.0,0.6511627906976744,0,7,15,0.3175015016222171,0.1919403183786397,1,0,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,0.5600135842976796,0.9382090844198852,1.0,1.0,0,1,1.0,1.0,0.0,0.0,-1.0
2,2018,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.406596259183396,0.1789331493614241,0.2845002962359335,0.3199736858979195,0.6521249733215632,-0.6996803512291384,0.3474435404619594,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.1,0.6511627906976744,0,7,15,0.3175015016222171,0.1919403183786397,1,0,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,-0.0343918750667976,0.4766705023928255,8.0,8.0,0,1,0.0,0.0,0.0,0.0,-8.0
3,2018,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.406596259183396,0.1854982607863875,0.2972083884921455,0.3136668649540293,0.6529948553591167,-0.688052356630525,-0.2408486081019845,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.4,0.6511627906976744,5,7,15,0.3175015016222171,0.1919403183786397,1,3,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,0.5110623774596231,0.4766705023928255,2.0,2.0,0,1,0.0,0.0,0.0,0.0,-2.0
4,2018,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.406596259183396,0.2443875156645099,0.3515011770045983,0.4364068809116982,0.6703433381572244,-0.6807032301197502,-0.7310920652386046,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.2,0.6511627906976744,-1,7,15,0.3175015016222171,0.1919403183786397,1,0,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,0.0,-0.5751451542025942,0.0,0.0,1,0,0.0,0.0,0.0,0.5,0.0
5,2018,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.406596259183396,0.2570704754699721,0.3195221279467138,0.4226702569751338,0.699793226598164,-0.6733151162004294,-0.3388972995293086,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.25,0.6511627906976744,-1,7,15,0.3175015016222171,0.1919403183786397,1,0,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1.0,0.0
