finish_position,season,round,grid_position_zero_flag,compound_ordinal,circuito_albert_park,circuito_americas,circuito_bahrain,circuito_bahrain_outer,circuito_baku,circuito_catalunya,circuito_hockenheim,circuito_hungaroring,circuito_imola,circuito_interlagos,circuito_istanbul,circuito_jeddah,circuito_las_vegas,circuito_losail,circuito_marina_bay,circuito_miami,circuito_monaco,circuito_monza,circuito_mugello,circuito_nurburgring,circuito_portimao,circuito_red_bull_ring,circuito_ricard,circuito_rodriguez,circuito_shanghai,circuito_silverstone,circuito_sochi,circuito_spa,circuito_suzuka,circuito_villeneuve,circuito_yas_marina,circuito_zandvoort,constructor_alfa,constructor_alphatauri,constructor_alpine,constructor_aston_martin,constructor_ferrari,constructor_force_india,constructor_haas,constructor_mclaren,constructor_mercedes,constructor_racing_point,constructor_rb,constructor_red_bull,constructor_renault,constructor_sauber,constructor_toro_rosso,constructor_williams,wet_compound_flag,corrida_chuva_flag,outlier_flag,status_falha_mecanica_flag,outlier_legitimo_flag,outlier_revisao_flag,outlier_espurio_flag,fastf1_laps_count_zscore,fastf1_avg_lap_time_zscore,fastf1_best_lap_time_zscore,fastf1_avg_sector1_zscore,fastf1_avg_sector2_zscore,fastf1_avg_sector3_zscore,fastf1_max_tyre_life_zscore,fastf1_stints_count_zscore,fastf1_pit_in_count_zscore,fastf1_pit_out_count_zscore,grid_position_minmax,laps_minmax,grid_penalty,altitude_m,corners,track_complexity,weather_impact_factor,safety_car_flag,tire_compound_start,season_factor,avg_pit_stops_circuit,avg_pit_stops_circuit_cold_start_flag,outlier_reclassificado_pos_contexto_flag,outlier_reclassificado_nao_feature_flag,incident_rate_hist,incident_rate_hist_norm,race_order,driver_coef_rapm,constructor_coef_rapm,recent_form_5,recent_form_3,recent_form_cold_start_flag,driver_experience,driver_wins_total,constructor_wins_total,driver_dnf_rate,constructor_dnf_rate,driver_constructor_synergy
17,2020,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0412530914443816,-0.4860284920671333,-0.3859261482854226,-0.6687573948151873,-0.5544794736228855,0.0578575552487082,-0.3388972995293086,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.85,0.7441860465116279,0,109,16,0.3242888731257161,0.2004298936866176,0,3,2020,1.6507936507936507,0,0,0,1.0,0.999999999,48,-1.266279134146766,-4.214964532090128,16.066666666666666,16.0,0,23,0.0,0.0,0.0384615384615384,0.0851063829787234,-15.608695652173912
18,2020,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0869209874117584,-0.4779327069807723,-0.4141464658309064,-0.6747338022232896,-0.5482665536668241,0.0726385862236178,-0.5349946823839565,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.9,0.7325581395348837,0,109,16,0.3242888731257161,0.2004298936866176,0,2,2020,1.6507936507936507,0,0,0,1.0,0.999999999,48,-0.843500390132826,-4.214964532090128,17.133333333333333,17.666666666666668,0,5,0.0,0.0,0.0,0.0851063829787234,-16.2
19,2020,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0869209874117584,-0.4517775268374835,-0.510859224269023,-0.6622189611390378,-0.5373131465237976,0.1088825604816032,-0.0447512252473365,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.8,0.7325581395348837,0,109,16,0.3242888731257161,0.2004298936866176,0,2,2020,1.6507936507936507,0,0,0,1.0,0.999999999,48,-1.07437729626231,-1.5532303920495285,15.533333333333331,16.0,0,33,0.0,0.0,0.1276595744680851,0.0957446808510638,-12.242424242424242
1,2020,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,0.912714129073436,1.1208478889475448,0.6277369827860501,1.7070280251907108,0.252655551972336,-0.0447512252473365,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.0,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,2,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,2.526890683952329,4.0924423894235415,1.2666666666666666,1.3333333333333333,0,47,26.0,31.0,0.0,0.0416666666666666,-2.106382978723404
2,2020,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,0.9279091243293692,1.1342719300632615,0.629935440279628,1.724002091485274,0.2569756226623872,-0.0447512252473365,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.05,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,2,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,1.565551705471162,4.0924423894235415,4.533333333333333,4.333333333333333,0,44,5.0,31.0,0.0208333333333333,0.0416666666666666,-3.363636363636364
3,2020,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,0.9443557392144504,1.153483224459976,0.6245657254111286,1.7643046181231317,0.2369755251174186,-0.0447512252473365,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.1,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,2,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,2.2709194379144493,3.187600906239174,1.8,1.6666666666666667,0,41,6.0,8.0,0.0416666666666666,0.1354166666666666,-3.317073170731707
4,2020,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,0.9589105469212532,1.104440727583892,0.6135874855949555,1.772979345272708,0.2474764291780893,-0.0447512252473365,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.15,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,3,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,0.8022766798229305,-0.4087254358335119,9.8,10.833333333333334,0,33,2.0,0.0,0.0833333333333333,0.1041666666666666,-9.3
5,2020,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,0.9949078539095344,1.1675038896252796,0.6291241883930204,1.808766335043744,0.2597078425316875,-0.0447512252473365,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.25,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,3,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,0.1734196279994152,-0.4087254358335119,10.066666666666666,10.166666666666666,0,20,0.0,0.0,0.1111111111111111,0.1041666666666666,-9.8
6,2020,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,1.000654407394273,1.1791977209971924,0.6572475871287572,1.7906525037207488,0.2615810102967918,-0.0447512252473365,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.2,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,3,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,-0.0652600369099861,3.187600906239174,6.533333333333333,7.0,0,25,0.0,8.0,0.037037037037037,0.1354166666666666,-6.142857142857143
7,2020,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,1.0209285265624464,1.1682198384847846,0.5968497085751604,1.8336616322757684,0.2653614598094781,-0.0447512252473365,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.45,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,3,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,0.6784916951269799,0.1124450174529998,8.8,8.833333333333334,0,21,0.0,0.0,0.074074074074074,0.1354166666666666,-8.380952380952381
8,2020,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,1.0195997212004242,1.1256805437492028,0.6033607951455975,1.8393577372150016,0.2642636098279434,-0.7310920652386046,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.55,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,1,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,-0.1854006021540116,-0.2981468934188812,9.8,9.333333333333334,0,39,0.0,0.0,0.0625,0.1666666666666666,-9.8
9,2020,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,1.0204563314907489,1.203062682980688,0.6409347515733754,1.8208141138287783,0.2710088745450017,-0.0447512252473365,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.4,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,3,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,-0.2894759244888514,0.0179696387175179,5.733333333333333,5.5,0,41,0.0,0.0,0.0416666666666666,0.0925925925925925,-10.434782608695652
10,2020,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,1.0312350920697075,1.1584948664765091,0.6101633704891444,1.839795689887025,0.2771493913908746,-0.7310920652386046,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.35,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,3,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,0.1556885353110448,0.0179696387175179,6.0,5.833333333333333,0,42,0.0,0.0,0.0217391304347826,0.0925925925925925,-9.217391304347826
11,2020,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,1.0648926119398936,1.2445877168319706,0.5897205253292128,1.8844015775630247,0.2950933461738149,-0.0447512252473365,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.5,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,2,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,-0.2508699594979026,-0.2981468934188812,11.0,11.333333333333334,0,22,0.0,0.0,0.1111111111111111,0.1666666666666666,-11.0
12,2020,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,1.0822775631854011,1.2439910927823836,0.6200669649490316,1.8536877662598337,0.3022696875785374,0.0532974661799874,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.75,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,2,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,0.6129563608276598,-2.360652890271864,14.8,14.833333333333334,0,41,1.0,0.0,0.0208333333333333,0.037037037037037,-11.625
13,2020,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,1.0751038303653695,1.252105179856772,0.6455248217716294,1.850404481321127,0.2923580250333802,-0.0447512252473365,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.65,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,2,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,0.6841158767903587,3.854493049190293,9.0,9.166666666666666,0,43,6.0,9.0,0.0625,0.0729166666666666,-4.372093023255814
14,2020,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,1.0781382890793278,1.125740206154162,0.7133925391252885,1.810327731526609,0.2859414950565564,-1.3193842138025489,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.6,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,3,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,0.9997393629311058,3.854493049190293,4.8,4.833333333333333,0,37,2.0,9.0,0.1458333333333333,0.0729166666666666,-3.727272727272727
15,2020,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,1.1524527200728438,1.2556849241542964,0.6138122480224147,1.8768013305715168,0.2985016431503881,0.0532974661799874,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.8,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,2,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,-1.1811627684411197,-1.6559815639566025,16.8,17.5,0,34,0.0,0.0,0.125,0.09375,-12.441176470588236
16,2020,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.0002789067592943,1.2049920681279456,1.1381499863855795,0.6809249040963314,1.8117667188775424,0.3175961695241461,-1.3193842138025489,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.9,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,2,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,-1.0218665041582402,-4.285361875046779,17.733333333333334,17.833333333333332,0,6,0.0,0.0,0.0,0.0833333333333333,-16.5
17,2020,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0002789067592943,1.2169583791329472,1.1402381705591351,0.6990498867230969,1.810648715472565,0.3270550464836979,-0.8291407566659286,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.95,0.5,0,401,19,0.570392585739303,0.2998561642642254,1,2,2020,1.7229166666666669,0,0,0,1.0,0.999999999,49,-0.4748187955154732,-1.6559815639566025,12.666666666666666,12.833333333333334,0,39,0.0,0.0,0.0625,0.09375,-11.58974358974359
1,2020,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.24976123115335,-0.2944040190787158,0.2214377851153498,-0.6848951711138402,0.2981936810752986,-0.6330433738112806,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.45,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,3,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,-0.1317452164016033,-0.2511147852240631,9.2,8.833333333333334,0,40,0.0,0.0,0.0612244897959183,0.1428571428571428,-9.5
2,2020,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.2549330610361794,-0.3036516918473205,0.2040151162133539,-0.6877970630716737,0.3253741575289186,-0.2408486081019845,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.1,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,3,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,0.5891690101309106,0.160364505000679,9.866666666666667,9.5,0,42,0.0,0.0,0.0408163265306122,0.1428571428571428,-8.173913043478262
3,2020,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.2435650062306127,-0.3027567557729393,0.1593776699697129,-0.6560998214217558,0.3280440594027846,-0.4369459909566326,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.35,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,3,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,-0.2566936546534686,0.0165304244561598,6.733333333333333,6.833333333333333,0,42,0.0,0.0,0.0408163265306122,0.0892857142857142,-10.375
4,2020,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.2464055361616687,-0.282769850111762,0.2191548351283607,-0.6762188529021712,0.3177712450568584,-0.2408486081019845,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.25,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,3,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,0.7153198333075853,0.160364505000679,8.333333333333334,8.333333333333334,0,22,0.0,0.0,0.0714285714285714,0.1428571428571428,-8.318181818181818
5,2020,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.2468566023437833,-0.2989383618555805,0.1686841703706259,-0.6440134978744222,0.330464221178516,-0.2408486081019845,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.05,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,3,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,1.586861111459162,4.1335813575864,3.733333333333333,2.5,0,45,5.0,32.0,0.0204081632653061,0.0408163265306122,-3.333333333333333
6,2020,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.2481195876537056,-0.3026970933679812,0.1573582511744789,-0.656806663587359,0.3586771283471024,-0.2408486081019845,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.3,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,3,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,0.8744642275215353,-0.2395145939199382,8.133333333333333,8.0,0,34,2.0,0.0,0.0816326530612244,0.1020408163265306,-9.047619047619047
7,2020,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.301085701724005,-0.3714281838804492,0.3014091382263433,-0.7049170964820484,0.3017054902902972,-0.6330433738112806,1.2177373943419831,0.8092266879066312,0.7604815977566157,0.0,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,3,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,2.5467202461273435,4.1335813575864,1.2,1.1666666666666667,0,48,27.0,32.0,0.0,0.0408163265306122,-2.083333333333333
8,2020,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.2381237236547834,-0.2673769496324074,0.1957124031608057,-0.6668447256516143,0.3595396328097303,-0.3388972995293086,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.55,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,3,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,0.3473964926974491,-0.2395145939199382,8.466666666666667,8.166666666666666,0,21,0.0,0.0,0.1071428571428571,0.1020408163265306,-9.0
9,2020,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.2339050678357401,-0.2680332360869533,0.1798531552615738,-0.6420216934333262,0.3552090880152825,-0.2408486081019845,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.5,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,1,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,-0.2847903676303739,-0.2511147852240631,11.133333333333333,11.166666666666666,0,23,0.0,0.0,0.1071428571428571,0.1428571428571428,-11.0
10,2020,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.2337839921763289,-0.2765649599960531,0.1868855887493768,-0.6513890458388455,0.3695112142537841,-0.2408486081019845,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.15,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,3,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,0.1598646962027824,0.0165304244561598,7.266666666666667,7.833333333333333,0,43,0.0,0.0,0.0212765957446808,0.0892857142857142,-9.25
11,2020,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.5892678430529031,-0.2188999951828033,-0.2370087855084089,0.2718936447499519,-0.6554833105233202,0.3104257966034936,-0.6330433738112806,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.95,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,2,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,-1.0811961837905588,-4.301310497882471,17.2,17.166666666666668,0,7,0.0,0.0,0.0,0.0816326530612244,-16.428571428571427
12,2020,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.2229987623587062,-0.2497765401695791,0.1889020465199846,-0.6543270703035461,0.3888467620577698,-0.2408486081019845,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.75,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,2,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,-1.190228742772591,-1.7386685362697334,16.466666666666665,16.5,0,35,0.0,0.0,0.1224489795918367,0.0918367346938775,-12.514285714285714
13,2020,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.2069419932916808,-0.2467934199216423,0.2416971156094784,-0.6566282593346981,0.3406469231178997,-0.6330433738112806,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.65,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,2,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,0.6678102827781169,-2.4027602041293648,14.0,13.166666666666666,0,42,1.0,0.0,0.0204081632653061,0.0357142857142857,-11.64
14,2020,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.5892678430529031,-0.2192964586165572,-0.2714936555745598,0.2141329373619141,-0.6390723775602288,0.3543105385900371,-0.6330433738112806,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.9,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,2,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,-1.2493653726124248,-4.301310497882471,16.333333333333332,16.5,0,24,0.0,0.0,0.0357142857142857,0.0816326530612244,-15.666666666666666
15,2020,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.2191100970623662,-0.2436313124588285,0.1894498360758779,-0.6317239289759569,0.3705462196089365,-0.6330433738112806,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.4,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,3,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,-0.043677940420967,3.183845547504509,6.533333333333333,6.5,0,26,0.0,8.0,0.0357142857142857,0.1326530612244898,-6.133333333333334
16,2020,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5892678430529031,-0.1854534377789752,-0.2455405094175088,0.1333027686682636,-0.6685474700377673,0.3710894686883835,-0.6330433738112806,1.2177373943419831,0.8092266879066312,0.7604815977566157,0.85,0.6046511627906976,0,162,11,0.302206989917295,0.1706801943452837,1,2,2020,1.3290441176470589,0,0,0,1.0,0.999999999,50,-1.2293276642288098,-2.4027602041293648,15.866666666666667,16.0,0,25,0.0,0.0,0.1071428571428571,0.0357142857142857,-13.68
1,2020,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3152604672486424,-0.2493708754578519,-0.604887174483997,0.7125255895318761,-1.236107893068935,0.5561162615777728,-0.9271894480932524,3.2798435220301183,2.499328599595781,2.409498395641236,0.0,0.6744186046511628,0,379,15,0.3386763480735219,0.1509730287943248,1,3,2020,1.5790337237581822,1,0,0,0.7248322147651006,0.7248322140402683,51,2.474575086045473,4.05338872653885,3.1333333333333333,4.0,0,49,27.0,32.0,0.0,0.04,-2.183673469387755
