season,round,race_name,driver_id,constructor_id,grid_position,finish_position,status,points,laps,RaceID,grid_position_zero_flag,fastf1_laps_count,fastf1_avg_lap_time,fastf1_best_lap_time,fastf1_avg_sector1,fastf1_avg_sector2,fastf1_avg_sector3,fastf1_first_compound,fastf1_main_compound,fastf1_max_tyre_life,fastf1_stints_count,fastf1_pit_in_count,fastf1_pit_out_count
2018,1,Australian Grand Prix,grosjean,haas,6,16,Wheel,0.0,24,grosjean_2018_1,0,24.0,91.36991666666667,88.805,30.168000000000003,24.090958333333333,36.82666666666667,ULTRASOFT,ULTRASOFT,26.0,1.0,1.0,0.0
2018,1,Australian Grand Prix,kevin_magnussen,haas,5,17,Wheel,0.0,22,kevin_magnussen_2018_1,0,22.0,91.43031818181818,89.534,30.135428571428573,24.130499999999998,36.88636363636363,ULTRASOFT,ULTRASOFT,24.0,1.0,1.0,0.0
2018,1,Australian Grand Prix,gasly,toro_rosso,20,18,Engine,0.0,13,gasly_2018_1,0,14.0,93.18853846153846,90.649,30.60823076923077,24.58064285714286,37.09830769230769,ULTRASOFT,ULTRASOFT,13.0,1.0,1.0,0.0
2018,1,Australian Grand Prix,ericsson,sauber,17,19,Steering,0.0,5,ericsson_2018_1,0,6.0,95.0192,92.21,30.872000000000003,24.680833333333336,37.391200000000005,SUPERSOFT,SUPERSOFT,5.0,1.0,1.0,0.0
2018,1,Australian Grand Prix,sirotkin,williams,19,20,Brakes,0.0,4,sirotkin_2018_1,0,5.0,96.53675,92.573,31.107333333333333,25.179000000000002,37.5315,SUPERSOFT,SUPERSOFT,4.0,1.0,0.0,0.0
2018,2,Bahrain Grand Prix,vettel,ferrari,1,1,Finished,25.0,57,vettel_2018_2,0,57.0,96.88858928571429,94.453,31.1384,41.791125,23.96026785714286,SUPERSOFT,SOFT,39.0,2.0,1.0,1.0
2018,2,Bahrain Grand Prix,bottas,mercedes,3,2,Finished,18.0,57,bottas_2018_2,0,57.0,96.90201785714285,93.74,31.04809090909091,41.91933928571429,23.91801785714286,SUPERSOFT,MEDIUM,37.0,2.0,1.0,1.0
2018,2,Bahrain Grand Prix,hamilton,mercedes,9,3,Finished,15.0,57,hamilton_2018_2,0,57.0,97.01046428571429,93.953,31.006327272727273,41.926607142857144,24.003232142857144,SOFT,MEDIUM,31.0,2.0,1.0,1.0
2018,2,Bahrain Grand Prix,gasly,toro_rosso,5,4,Finished,12.0,57,gasly_2018_2,0,57.0,97.98323214285713,94.863,31.81910909090909,42.07155357142857,24.057089285714284,SUPERSOFT,SUPERSOFT,26.0,3.0,2.0,2.0
2018,2,Bahrain Grand Prix,kevin_magnussen,haas,6,5,Finished,10.0,57,kevin_magnussen_2018_2,0,57.0,98.19273684210526,94.327,31.728145454545455,42.31760714285714,24.111232142857144,SUPERSOFT,SOFT,30.0,3.0,2.0,2.0
2018,2,Bahrain Grand Prix,hulkenberg,renault,7,6,Finished,8.0,57,hulkenberg_2018_2,0,57.0,98.61340350877192,94.667,31.739945454545452,42.434107142857144,24.402785714285717,SUPERSOFT,SUPERSOFT,24.0,3.0,2.0,2.0
2018,2,Bahrain Grand Prix,alonso,mclaren,13,7,+1 Lap,6.0,56,alonso_2018_2,0,56.0,98.63482142857143,94.168,31.921907407407407,42.20663636363637,24.44818181818182,SOFT,MEDIUM,25.0,3.0,2.0,2.0
2018,2,Bahrain Grand Prix,vandoorne,mclaren,14,8,+1 Lap,4.0,56,vandoorne_2018_2,0,56.0,98.805875,95.131,32.035472727272726,42.19550909090909,24.50067272727273,SUPERSOFT,MEDIUM,28.0,3.0,2.0,2.0
2018,2,Bahrain Grand Prix,ericsson,sauber,17,9,+1 Lap,2.0,56,ericsson_2018_2,0,56.0,98.88492857142856,95.093,31.703333333333333,42.54078181818182,24.560654545454547,SOFT,MEDIUM,33.0,2.0,1.0,1.0
2018,2,Bahrain Grand Prix,ocon,force_india,8,10,+1 Lap,1.0,56,ocon_2018_2,0,56.0,98.994375,95.043,31.87462962962963,42.593272727272726,24.491727272727275,SUPERSOFT,SOFT,21.0,3.0,2.0,2.0
2018,2,Bahrain Grand Prix,sainz,renault,10,11,+1 Lap,0.0,56,sainz_2018_2,0,56.0,99.1125892857143,95.535,31.89437037037037,42.5994,24.54887272727273,SUPERSOFT,SOFT,40.0,3.0,2.0,2.0
2018,2,Bahrain Grand Prix,leclerc,sauber,19,12,+1 Lap,0.0,56,leclerc_2018_2,0,56.0,99.20669642857142,95.058,32.02337037037037,42.55427272727273,24.552436363636364,SOFT,MEDIUM,31.0,3.0,2.0,2.0
2018,2,Bahrain Grand Prix,grosjean,haas,16,13,+1 Lap,0.0,56,grosjean_2018_2,0,56.0,99.26867857142858,94.053,32.237,42.39803636363636,24.576,SUPERSOFT,SUPERSOFT,17.0,4.0,3.0,3.0
2018,2,Bahrain Grand Prix,stroll,williams,20,14,+1 Lap,0.0,56,stroll_2018_2,0,55.0,99.15269090909091,95.266,31.704277777777776,42.71154545454546,24.646629629629633,SOFT,MEDIUM,26.0,3.0,2.0,2.0
2018,2,Bahrain Grand Prix,sirotkin,williams,18,15,+1 Lap,0.0,56,sirotkin_2018_2,0,56.0,99.63705357142858,94.563,32.19042592592592,42.768254545454546,24.616345454545456,SOFT,SOFT,21.0,3.0,2.0,2.0
2018,2,Bahrain Grand Prix,perez,force_india,12,16,+1 Lap,0.0,56,perez_2018_2,0,56.0,99.13339285714287,95.075,31.85798181818182,42.61205454545455,24.541490909090907,SOFT,SUPERSOFT,24.0,3.0,2.0,2.0
2018,2,Bahrain Grand Prix,brendon_hartley,toro_rosso,11,17,+1 Lap,0.0,56,brendon_hartley_2018_2,0,56.0,99.133875,94.689,32.16748148148148,42.55290909090909,24.35841818181818,SUPERSOFT,SUPERSOFT,22.0,3.0,2.0,2.0
2018,2,Bahrain Grand Prix,raikkonen,ferrari,2,18,Wheel,0.0,35,raikkonen_2018_2,0,34.0,98.16364705882353,94.337,31.59587878787879,42.21155882352941,24.329705882352943,SUPERSOFT,SUPERSOFT,21.0,2.0,2.0,1.0
2018,2,Bahrain Grand Prix,max_verstappen,red_bull,15,19,Puncture,0.0,3,max_verstappen_2018_2,0,4.0,115.883,103.654,48.2915,55.315666666666665,36.66166666666666,SOFT,SUPERSOFT,2.0,2.0,1.0,1.0
2018,2,Bahrain Grand Prix,ricciardo,red_bull,4,20,Electrical,0.0,1,ricciardo_2018_2,0,2.0,98.684,98.684,,41.585,23.559,,,,0.0,0.0,0.0
2018,3,Chinese Grand Prix,ricciardo,red_bull,6,1,Finished,25.0,56,ricciardo_2018_3,0,56.0,100.4982962962963,95.785,27.679290909090913,30.408785714285717,44.303125,ULTRASOFT,ULTRASOFT,49.0,2.0,2.0,2.0
2018,3,Chinese Grand Prix,bottas,mercedes,3,2,Finished,18.0,56,bottas_2018_3,0,56.0,100.4470925925926,96.987,27.51310909090909,30.67105357142857,44.39142857142857,SOFT,SOFT,49.0,2.0,1.0,1.0
2018,3,Chinese Grand Prix,raikkonen,ferrari,2,3,Finished,15.0,56,raikkonen_2018_3,0,56.0,101.617,96.456,27.41163636363636,30.628375000000002,44.533125,SOFT,SOFT,49.0,2.0,1.0,1.0
2018,3,Chinese Grand Prix,hamilton,mercedes,4,4,Finished,12.0,56,hamilton_2018_3,0,56.0,100.73324074074074,96.878,27.36198181818182,30.778660714285714,44.55825,SOFT,SOFT,48.0,2.0,1.0,1.0
2018,3,Chinese Grand Prix,max_verstappen,red_bull,5,5,Finished,10.0,56,max_verstappen_2018_3,0,56.0,100.5494074074074,96.206,27.632272727272728,30.49430357142857,44.464017857142856,ULTRASOFT,ULTRASOFT,48.0,3.0,2.0,2.0
2018,3,Chinese Grand Prix,hulkenberg,renault,7,6,Finished,8.0,56,hulkenberg_2018_3,0,56.0,101.92961818181819,96.881,27.656200000000002,30.725625,44.382428571428576,ULTRASOFT,ULTRASOFT,48.0,3.0,2.0,2.0
2018,3,Chinese Grand Prix,alonso,mclaren,13,7,Finished,6.0,56,alonso_2018_3,0,56.0,102.98248214285715,97.234,27.350472727272727,31.058017857142858,44.50335714285715,SOFT,SOFT,46.0,2.0,1.0,1.0
2018,3,Chinese Grand Prix,vettel,ferrari,1,8,Finished,4.0,56,vettel_2018_3,0,56.0,100.9647037037037,97.479,27.5948,30.78848214285714,44.67239285714286,SOFT,SOFT,47.0,2.0,1.0,1.0
2018,3,Chinese Grand Prix,sainz,renault,9,9,Finished,2.0,56,sainz_2018_3,0,56.0,102.203,97.754,27.696018181818182,30.976107142857142,44.35782142857143,ULTRASOFT,ULTRASOFT,48.0,3.0,2.0,2.0
