season,round,driver_id,grid_position,finish_position,status,points,laps,RaceID,grid_position_zero_flag,fastf1_laps_count,fastf1_avg_lap_time,fastf1_best_lap_time,fastf1_avg_sector1,fastf1_avg_sector2,fastf1_avg_sector3,fastf1_first_compound,fastf1_main_compound,fastf1_max_tyre_life,fastf1_stints_count,fastf1_pit_in_count,fastf1_pit_out_count,status_normalizado,dnf_categoria,is_dnf,dnf_flag,dnf_driver_flag,dnf_car_flag,dnf_other_flag,compound_normalizado,compound_ordinal,circuito_70th Anniversary Grand Prix,circuito_Abu Dhabi Grand Prix,circuito_Australian Grand Prix,circuito_Austrian Grand Prix,circuito_Azerbaijan Grand Prix,circuito_Bahrain Grand Prix,circuito_Belgian Grand Prix,circuito_Brazilian Grand Prix,circuito_British Grand Prix,circuito_Canadian Grand Prix,circuito_Chinese Grand Prix,circuito_Dutch Grand Prix,circuito_Eifel Grand Prix,circuito_Emilia Romagna Grand Prix,circuito_French Grand Prix,circuito_German Grand Prix,circuito_Hungarian Grand Prix,circuito_Italian Grand Prix,circuito_Japanese Grand Prix,circuito_Las Vegas Grand Prix,circuito_Mexican Grand Prix,circuito_Mexico City Grand Prix,circuito_Miami Grand Prix,circuito_Monaco Grand Prix,circuito_Portuguese Grand Prix,circuito_Qatar Grand Prix,circuito_Russian Grand Prix,circuito_Sakhir Grand Prix,circuito_Saudi Arabian Grand Prix,circuito_Singapore Grand Prix,circuito_Spanish Grand Prix,circuito_Styrian Grand Prix,circuito_São Paulo Grand Prix,circuito_Turkish Grand Prix,circuito_Tuscan Grand Prix,circuito_United States Grand Prix,constructor_alfa,constructor_alphatauri,constructor_alpine,constructor_aston_martin,constructor_ferrari,constructor_force_india,constructor_haas,constructor_mclaren,constructor_mercedes,constructor_racing_point,constructor_rb,constructor_red_bull,constructor_renault,constructor_sauber,constructor_toro_rosso,constructor_williams,circuito_derivado,safety_car_flag,outlier_flag,outlier_colunas,status_falha_mecanica_flag,outlier_tipo,outlier_legitimo_flag,outlier_espurio_flag,fastf1_laps_count_zscore,fastf1_avg_lap_time_zscore,fastf1_best_lap_time_zscore,fastf1_avg_sector1_zscore,fastf1_avg_sector2_zscore,fastf1_avg_sector3_zscore,fastf1_max_tyre_life_zscore,fastf1_stints_count_zscore,fastf1_pit_in_count_zscore,fastf1_pit_out_count_zscore,grid_position_minmax,laps_minmax
2018,1,vettel,3,1,Finished,25.0,58,vettel_2018_1,0,58.0,92.6428103448276,86.469,30.73735087719298,24.595103448275864,36.78740350877193,ULTRASOFT,SOFT,32.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,ULTRASOFT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Australian Grand Prix,0,0,,0,nao_outlier,0,0,-0.3641416816941963,-0.07366861712956166,-0.14665729273918976,0.2793251737596084,-1.4297568049481753,1.0765648552167117,-0.14638973617322837,-0.8460832677236643,-0.8831296786042838,-0.8906044308005681,0.15000000000000002,0.6627906976744186
2018,1,hamilton,1,2,Finished,18.0,58,hamilton_2018_1,0,58.0,92.72963793103447,86.444,30.868649122807017,24.64475862068965,37.147603448275866,ULTRASOFT,SOFT,39.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,ULTRASOFT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Australian Grand Prix,0,0,,0,nao_outlier,0,0,-0.3641416816941963,-0.06824327883866767,-0.14819819728502484,0.2993362731290077,-1.4237575298881773,1.12641644992734,0.5416849992105185,-0.8460832677236643,-0.8831296786042838,-0.8906044308005681,0.05,0.6627906976744186
2018,1,raikkonen,2,3,Finished,15.0,58,raikkonen_2018_1,0,58.0,92.75158620689656,86.373,30.88571929824561,24.58144827586207,37.20877586206896,ULTRASOFT,SOFT,40.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,ULTRASOFT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Australian Grand Prix,0,0,,0,nao_outlier,0,0,-0.3641416816941963,-0.06687186191167896,-0.1525743661951979,0.30193792995509294,-1.4314066055896753,1.1348826989336112,0.6399813899796253,-0.8460832677236643,-0.8831296786042838,-0.8906044308005681,0.1,0.6627906976744186
2018,1,ricciardo,8,4,Finished,12.0,58,ricciardo_2018_1,0,58.0,92.76468965517242,85.945,30.96221052631579,24.600741379310342,37.0808275862069,SUPERSOFT,SOFT,32.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,SUPERSOFT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Australian Grand Prix,0,0,,0,nao_outlier,0,0,-0.3641416816941963,-0.06605310553735838,-0.17895465201990443,0.31359591943272297,-1.4290756372590718,1.1171746848762425,-0.14638973617322837,-0.8460832677236643,-0.8831296786042838,-0.8906044308005681,0.4,0.6627906976744186
2018,1,alonso,10,5,Finished,10.0,58,alonso_2018_1,0,58.0,93.12360344827586,86.978,30.921877192982457,24.802206896551724,37.26529310344828,ULTRASOFT,SOFT,32.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,ULTRASOFT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Australian Grand Prix,0,0,,0,nao_outlier,0,0,-0.3641416816941963,-0.04362672205809716,-0.11528447618597648,0.3074487364489913,-1.4047348285520964,1.1427046730718764,-0.14638973617322837,-0.8460832677236643,-0.8831296786042838,-0.8906044308005681,0.5,0.6627906976744186
2018,1,max_verstappen,4,6,Finished,8.0,58,max_verstappen_2018_1,0,58.0,93.14186206896552,86.88,31.036807017543858,24.686413793103448,37.32241379310344,SUPERSOFT,SOFT,37.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,SUPERSOFT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Australian Grand Prix,0,0,,0,nao_outlier,0,0,-0.3641416816941963,-0.042485849689141486,-0.12132482200565206,0.32496513302420904,-1.4187248046989553,1.1506101643226592,0.34509221767230513,-0.8460832677236643,-0.8831296786042838,-0.8906044308005681,0.2,0.6627906976744186
2018,1,hulkenberg,7,7,Finished,6.0,58,hulkenberg_2018_1,0,58.0,93.20610344827584,87.081,30.877140350877195,24.66251724137931,37.551965517241385,ULTRASOFT,SOFT,34.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,ULTRASOFT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Australian Grand Prix,0,0,,0,nao_outlier,0,0,-0.3641416816941963,-0.03847178883293293,-0.10893594945713318,0.3006304169150567,-1.4216119558215798,1.1823800739251165,0.05020304536498504,-0.8460832677236643,-0.8831296786042838,-0.8906044308005681,0.35000000000000003,0.6627906976744186
2018,1,bottas,15,8,Finished,4.0,58,bottas_2018_1,0,58.0,93.23486206896553,87.019,31.006175438596493,24.69487931034483,37.37194827586207,ULTRASOFT,SUPERSOFT,33.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,ULTRASOFT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Australian Grand Prix,0,0,,0,nao_outlier,0,0,-0.3641416816941963,-0.03667483405350031,-0.11275739273080539,0.3202965895315626,-1.4177020116244896,1.1574657261589114,-0.04809334540412166,-0.8460832677236643,-0.8831296786042838,-0.8906044308005681,0.75,0.6627906976744186
2018,1,vandoorne,11,9,Finished,2.0,58,vandoorne_2018_1,0,58.0,93.24489655172414,86.958,30.96521052631579,24.85003448275862,37.29003448275862,ULTRASOFT,SUPERSOFT,33.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,ULTRASOFT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Australian Grand Prix,0,0,,0,nao_outlier,0,0,-0.3641416816941963,-0.036047839040533984,-0.11651719982264473,0.31405314791911626,-1.3989563601436112,1.1461288746851797,-0.04809334540412166,-0.8460832677236643,-0.8831296786042838,-0.8906044308005681,0.55,0.6627906976744186
2018,1,sainz,9,10,Finished,1.0,58,sainz_2018_1,0,58.0,93.43112068965516,87.944,31.00394736842105,24.852,37.44836206896552,ULTRASOFT,SOFT,36.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,ULTRASOFT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Australian Grand Prix,0,0,,0,nao_outlier,0,0,-0.3641416816941963,-0.024411802726007983,-0.055743924534887565,0.31995701048026376,-1.3987188888391529,1.1680413788071085,0.24679582690319843,-0.8460832677236643,-0.8831296786042838,-0.8906044308005681,0.45,0.6627906976744186
