season,round,race_name,driver_id,constructor_id,grid_position,finish_position,status,points,laps,RaceID,grid_position_zero_flag,fastf1_laps_count,fastf1_avg_lap_time,fastf1_best_lap_time,fastf1_avg_sector1,fastf1_avg_sector2,fastf1_avg_sector3,fastf1_first_compound,fastf1_main_compound,fastf1_max_tyre_life,fastf1_stints_count,fastf1_pit_in_count,fastf1_pit_out_count,status_normalizado,dnf_categoria,is_dnf,dnf_flag,dnf_driver_flag,dnf_car_flag,dnf_other_flag,circuit_id,compound_normalizado,compound_ordinal,circuito_albert_park,circuito_americas,circuito_bahrain,circuito_bahrain_outer,circuito_baku,circuito_catalunya,circuito_hockenheim,circuito_hungaroring,circuito_imola,circuito_interlagos,circuito_istanbul,circuito_jeddah,circuito_las_vegas,circuito_losail,circuito_marina_bay,circuito_miami,circuito_monaco,circuito_monza,circuito_mugello,circuito_nurburgring,circuito_portimao,circuito_red_bull_ring,circuito_ricard,circuito_rodriguez,circuito_shanghai,circuito_silverstone,circuito_sochi,circuito_spa,circuito_suzuka,circuito_villeneuve,circuito_yas_marina,circuito_zandvoort,constructor_alfa,constructor_alphatauri,constructor_alpine,constructor_aston_martin,constructor_ferrari,constructor_force_india,constructor_haas,constructor_mclaren,constructor_mercedes,constructor_racing_point,constructor_rb,constructor_red_bull,constructor_renault,constructor_sauber,constructor_toro_rosso,constructor_williams,circuito_derivado,wet_compound_flag,corrida_chuva_flag,outlier_flag,outlier_colunas,status_falha_mecanica_flag,outlier_tipo,outlier_legitimo_flag,outlier_revisao_flag,outlier_espurio_flag,fastf1_laps_count_zscore,fastf1_avg_lap_time_zscore,fastf1_best_lap_time_zscore,fastf1_avg_sector1_zscore,fastf1_avg_sector2_zscore,fastf1_avg_sector3_zscore,fastf1_max_tyre_life_zscore,fastf1_stints_count_zscore,fastf1_pit_in_count_zscore,fastf1_pit_out_count_zscore,grid_position_minmax,laps_minmax,qualifying_position,grid_penalty,altitude_m,corners,length_km,circuit_type,track_complexity,weather_impact_factor,avg_pit_stops_circuit,safety_car_flag
2025,1,Australian Grand Prix,norris,mclaren,1,1,Finished,25.0,57,norris_2025_1,0,57.0,103.42830188679244,82.167,37.19123214285714,23.721087719298247,46.47919298245614,INTERMEDIATE,INTERMEDIATE,34.0,6.0,5.0,5.0,finished,classificado,False,0,0,0,0,albert_park,INTERMEDIATE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,albert_park,1,1,0,NONE,0,nao_outlier,0,0,0,-0.406596259183396,0.5740202205542178,-0.405972716351559,1.2476633022200412,-1.5260042663375175,2.378925780319318,0.0532974661799874,3.2798435220301183,2.499328599595781,2.409498395641236,0.0,0.6511627906976744,1,0,13,16,5.278,0,0.301108981147856,0.8922417913921228,2.308411214953271,1
2025,1,Australian Grand Prix,max_verstappen,red_bull,3,2,Finished,18.0,57,max_verstappen_2025_1,0,57.0,103.34115094339624,83.081,36.825607142857145,23.51240350877193,47.04071929824561,INTERMEDIATE,INTERMEDIATE,34.0,6.0,5.0,5.0,finished,classificado,False,0,0,0,0,albert_park,INTERMEDIATE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,albert_park,1,1,0,NONE,0,nao_outlier,0,0,0,-0.406596259183396,0.5687442915842768,-0.351441278219271,1.1924494461388224,-1.550981455994648,2.4555493759083475,0.0532974661799874,3.2798435220301183,2.499328599595781,2.409498395641236,0.1,0.6511627906976744,3,0,13,16,5.278,0,0.301108981147856,0.8922417913921228,2.308411214953271,1
2025,1,Australian Grand Prix,russell,mercedes,4,3,Finished,15.0,57,russell_2025_1,0,57.0,103.68633962264153,85.065,37.01067857142857,23.614052631578947,46.86845614035088,INTERMEDIATE,INTERMEDIATE,34.0,6.0,5.0,5.0,finished,classificado,False,0,0,0,0,albert_park,INTERMEDIATE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,albert_park,1,1,0,NONE,0,nao_outlier,0,0,0,-0.406596259183396,0.58964126506449,-0.233071066781132,1.22039750007903,-1.5388151813520743,2.4320430465088827,0.0532974661799874,3.2798435220301183,2.499328599595781,2.409498395641236,0.15,0.6511627906976744,4,0,13,16,5.278,0,0.301108981147856,0.8922417913921228,2.308411214953271,1
2025,1,Australian Grand Prix,antonelli,mercedes,16,4,Finished,12.0,57,antonelli_2025_1,0,57.0,104.57937037037036,84.901,36.39258928571429,23.50333333333333,47.51942105263158,INTERMEDIATE,INTERMEDIATE,33.0,6.0,5.0,5.0,finished,classificado,False,0,0,0,0,albert_park,INTERMEDIATE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,albert_park,1,1,0,NONE,0,nao_outlier,0,0,0,-0.406596259183396,0.6437034083917453,-0.2428557011943654,1.1270584426656354,-1.552067055578737,2.5208710689518155,-0.0447512252473365,3.2798435220301183,2.499328599595781,2.409498395641236,0.75,0.6511627906976744,16,0,13,16,5.278,0,0.301108981147856,0.8922417913921228,2.308411214953271,1
2025,1,Australian Grand Prix,albon,williams,6,5,Finished,10.0,57,albon_2025_1,0,57.0,104.67238888888888,84.597,36.593125,23.650473684210525,47.29738596491228,INTERMEDIATE,INTERMEDIATE,31.0,6.0,5.0,5.0,finished,classificado,False,0,0,0,0,albert_park,INTERMEDIATE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,albert_park,1,1,0,NONE,0,nao_outlier,0,0,0,-0.406596259183396,0.6493345476252224,-0.2609930723018223,1.157341793278192,-1.5344559845695438,2.490573064584809,-0.2408486081019845,3.2798435220301183,2.499328599595781,2.409498395641236,0.25,0.6511627906976744,6,0,13,16,5.278,0,0.301108981147856,0.8922417913921228,2.308411214953271,1
2025,1,Australian Grand Prix,stroll,aston_martin,13,6,Finished,8.0,57,stroll_2025_1,0,57.0,104.73012962962964,85.538,36.42401785714286,23.536508771929824,47.60561403508772,INTERMEDIATE,INTERMEDIATE,33.0,6.0,5.0,5.0,finished,classificado,False,0,0,0,0,albert_park,INTERMEDIATE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,albert_park,1,1,0,NONE,0,nao_outlier,0,0,0,-0.406596259183396,0.6528300467552223,-0.2048507492356482,1.1318045421383067,-1.5480963228640132,2.5326326125244374,-0.0447512252473365,3.2798435220301183,2.499328599595781,2.409498395641236,0.6,0.6511627906976744,13,0,13,16,5.278,0,0.301108981147856,0.8922417913921228,2.308411214953271,1
2025,1,Australian Grand Prix,hulkenberg,sauber,17,7,Finished,6.0,57,hulkenberg_2025_1,0,57.0,104.74016666666668,85.243,36.52373214285714,23.366929824561403,47.67517543859649,INTERMEDIATE,INTERMEDIATE,33.0,6.0,5.0,5.0,finished,classificado,False,0,0,0,0,albert_park,INTERMEDIATE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,albert_park,1,1,0,NONE,0,nao_outlier,0,0,0,-0.406596259183396,0.6534376671941123,-0.2224511586984765,1.1468626213743276,-1.5683930454555073,2.5421246785259526,-0.0447512252473365,3.2798435220301183,2.499328599595781,2.409498395641236,0.8,0.6511627906976744,17,0,13,16,5.278,0,0.301108981147856,0.8922417913921228,2.308411214953271,1
2025,1,Australian Grand Prix,leclerc,ferrari,7,8,Finished,4.0,57,leclerc_2025_1,0,57.0,103.9335283018868,85.271,36.446892857142856,23.27056140350877,47.95554385964912,INTERMEDIATE,INTERMEDIATE,34.0,6.0,5.0,5.0,finished,classificado,False,0,0,0,0,albert_park,INTERMEDIATE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,albert_park,1,1,0,NONE,0,nao_outlier,0,0,0,-0.406596259183396,0.6046055312336215,-0.2207806113596314,1.1352589474931316,-1.5799272785607297,2.5803826121376088,0.0532974661799874,3.2798435220301183,2.499328599595781,2.409498395641236,0.3,0.6511627906976744,7,0,13,16,5.278,0,0.301108981147856,0.8922417913921228,2.308411214953271,1
2025,1,Australian Grand Prix,piastri,mclaren,2,9,Finished,2.0,57,piastri_2025_1,0,57.0,102.08446153846154,83.242,36.51551785714285,23.25919298245614,46.221964285714286,INTERMEDIATE,INTERMEDIATE,34.0,6.0,5.0,5.0,finished,classificado,False,0,0,0,0,albert_park,INTERMEDIATE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,albert_park,1,1,0,NONE,0,nao_outlier,0,0,0,-0.406596259183396,0.4926670423963764,-0.3418356310209138,1.1456221635576052,-1.5812879527009414,2.34382539930631,0.0532974661799874,3.2798435220301183,2.499328599595781,2.409498395641236,0.05,0.6511627906976744,2,0,13,16,5.278,0,0.301108981147856,0.8922417913921228,2.308411214953271,1
2025,1,Australian Grand Prix,hamilton,ferrari,8,10,Finished,1.0,57,hamilton_2025_1,0,57.0,103.9671886792453,84.218,36.604125,23.45559649122807,47.63805263157895,INTERMEDIATE,INTERMEDIATE,33.0,6.0,5.0,5.0,finished,classificado,False,0,0,0,0,albert_park,INTERMEDIATE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,albert_park,1,1,0,NONE,0,nao_outlier,0,0,0,-0.406596259183396,0.6066432574259534,-0.2836051237811841,1.1590029280936276,-1.5577806270841632,2.537059051373568,-0.0447512252473365,3.2798435220301183,2.499328599595781,2.409498395641236,0.35,0.6511627906976744,8,0,13,16,5.278,0,0.301108981147856,0.8922417913921228,2.308411214953271,1
