season,round,race_name,driver_id,constructor_id,grid_position,finish_position,status,points,laps,RaceID,grid_position_zero_flag,status_normalizado,dnf_categoria,is_dnf,dnf_flag,dnf_driver_flag,dnf_car_flag,dnf_other_flag
2018,3,Chinese Grand Prix,hamilton,mercedes,4,4,Finished,12.0,56,hamilton_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,max_verstappen,red_bull,5,5,Finished,10.0,56,max_verstappen_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,hulkenberg,renault,7,6,Finished,8.0,56,hulkenberg_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,alonso,mclaren,13,7,Finished,6.0,56,alonso_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,vettel,ferrari,1,8,Finished,4.0,56,vettel_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,sainz,renault,9,9,Finished,2.0,56,sainz_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,kevin_magnussen,haas,11,10,Finished,1.0,56,kevin_magnussen_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,ocon,force_india,12,11,Finished,0.0,56,ocon_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,perez,force_india,8,12,Finished,0.0,56,perez_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,vandoorne,mclaren,14,13,Finished,0.0,56,vandoorne_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,stroll,williams,18,14,Finished,0.0,56,stroll_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,sirotkin,williams,16,15,Finished,0.0,56,sirotkin_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,ericsson,sauber,20,16,Finished,0.0,56,ericsson_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,grosjean,haas,10,17,Finished,0.0,56,grosjean_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,gasly,toro_rosso,17,18,Finished,0.0,56,gasly_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,leclerc,sauber,19,19,Finished,0.0,56,leclerc_2018_3,0,finished,classificado,False,0,0,0,0
2018,3,Chinese Grand Prix,brendon_hartley,toro_rosso,15,20,Collision damage,0.0,51,brendon_hartley_2018_3,0,collision damage,dnf_piloto,True,1,1,0,0
2018,4,Azerbaijan Grand Prix,hamilton,mercedes,2,1,Finished,25.0,51,hamilton_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,raikkonen,ferrari,6,2,Finished,18.0,51,raikkonen_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,perez,force_india,8,3,Finished,15.0,51,perez_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,vettel,ferrari,1,4,Finished,12.0,51,vettel_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,sainz,renault,9,5,Finished,10.0,51,sainz_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,leclerc,sauber,13,6,Finished,8.0,51,leclerc_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,alonso,mclaren,12,7,Finished,6.0,51,alonso_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,stroll,williams,10,8,Finished,4.0,51,stroll_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,vandoorne,mclaren,16,9,Finished,2.0,51,vandoorne_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,brendon_hartley,toro_rosso,19,10,Finished,1.0,51,brendon_hartley_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,ericsson,sauber,18,11,Finished,0.0,51,ericsson_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,gasly,toro_rosso,17,12,Finished,0.0,51,gasly_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,kevin_magnussen,haas,15,13,Finished,0.0,51,kevin_magnussen_2018_4,0,finished,classificado,False,0,0,0,0
2018,4,Azerbaijan Grand Prix,bottas,mercedes,3,14,Puncture,0.0,48,bottas_2018_4,0,puncture,dnf_carro,True,1,0,1,0
2018,4,Azerbaijan Grand Prix,grosjean,haas,20,15,Accident,0.0,42,grosjean_2018_4,0,accident,dnf_piloto,True,1,1,0,0
2018,4,Azerbaijan Grand Prix,max_verstappen,red_bull,5,16,Collision,0.0,39,max_verstappen_2018_4,0,collision,dnf_piloto,True,1,1,0,0
2018,4,Azerbaijan Grand Prix,ricciardo,red_bull,4,17,Collision,0.0,39,ricciardo_2018_4,0,collision,dnf_piloto,True,1,1,0,0
2018,4,Azerbaijan Grand Prix,hulkenberg,renault,14,18,Accident,0.0,10,hulkenberg_2018_4,0,accident,dnf_piloto,True,1,1,0,0
2018,4,Azerbaijan Grand Prix,ocon,force_india,7,19,Collision,0.0,0,ocon_2018_4,0,collision,dnf_piloto,True,1,1,0,0
2018,4,Azerbaijan Grand Prix,sirotkin,williams,11,20,Collision,0.0,0,sirotkin_2018_4,0,collision,dnf_piloto,True,1,1,0,0
2018,5,Spanish Grand Prix,hamilton,mercedes,1,1,Finished,25.0,66,hamilton_2018_5,0,finished,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,bottas,mercedes,2,2,Finished,18.0,66,bottas_2018_5,0,finished,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,max_verstappen,red_bull,5,3,Finished,15.0,66,max_verstappen_2018_5,0,finished,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,vettel,ferrari,3,4,Finished,12.0,66,vettel_2018_5,0,finished,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,ricciardo,red_bull,6,5,Finished,10.0,66,ricciardo_2018_5,0,finished,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,kevin_magnussen,haas,7,6,+1 Lap,8.0,65,kevin_magnussen_2018_5,0,+1 lap,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,sainz,renault,9,7,+1 Lap,6.0,65,sainz_2018_5,0,+1 lap,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,alonso,mclaren,8,8,+1 Lap,4.0,65,alonso_2018_5,0,+1 lap,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,perez,force_india,15,9,+2 Laps,2.0,64,perez_2018_5,0,+2 laps,classificado,False,0,0,0,0
