season,round,RaceID,race_name,driver_id,constructor_id,race_order,constructor_coef_rapm,rapm_cold_start_flag,target_definition,alpha,decay,decay_unit,coefficient_status,n_train_rows,n_train_races
2018,3,kevin_magnussen_2018_3,Chinese Grand Prix,kevin_magnussen,haas,3,-0.07563222792843717,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,32,2
2018,3,leclerc_2018_3,Chinese Grand Prix,leclerc,sauber,3,-0.5645291396284389,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,32,2
2018,3,max_verstappen_2018_3,Chinese Grand Prix,max_verstappen,red_bull,3,0.5396970130814172,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,32,2
2018,3,ocon_2018_3,Chinese Grand Prix,ocon,force_india,3,-0.9353252578053024,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,32,2
2018,3,perez_2018_3,Chinese Grand Prix,perez,force_india,3,-0.9353252578053024,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,32,2
2018,3,raikkonen_2018_3,Chinese Grand Prix,raikkonen,ferrari,3,1.393293806320348,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,32,2
2018,3,ricciardo_2018_3,Chinese Grand Prix,ricciardo,red_bull,3,0.5396970130814172,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,32,2
2018,3,sainz_2018_3,Chinese Grand Prix,sainz,renault,3,0.0021672056593512023,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,32,2
2018,3,sirotkin_2018_3,Chinese Grand Prix,sirotkin,williams,3,-1.1970602510494088,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,32,2
2018,3,stroll_2018_3,Chinese Grand Prix,stroll,williams,3,-1.1970602510494088,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,32,2
2018,3,vandoorne_2018_3,Chinese Grand Prix,vandoorne,mclaren,3,0.3146646934809024,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,32,2
2018,3,vettel_2018_3,Chinese Grand Prix,vettel,ferrari,3,1.393293806320348,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,32,2
2018,4,alonso_2018_4,Azerbaijan Grand Prix,alonso,mclaren,4,0.30334004695171696,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,4,brendon_hartley_2018_4,Azerbaijan Grand Prix,brendon_hartley,toro_rosso,4,-1.0931750568444745,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,4,ericsson_2018_4,Azerbaijan Grand Prix,ericsson,sauber,4,-1.317003397825942,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,4,gasly_2018_4,Azerbaijan Grand Prix,gasly,toro_rosso,4,-1.0931750568444745,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,4,hamilton_2018_4,Azerbaijan Grand Prix,hamilton,mercedes,4,1.777027280824334,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,4,kevin_magnussen_2018_4,Azerbaijan Grand Prix,kevin_magnussen,haas,4,-0.5306769229654216,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,4,leclerc_2018_4,Azerbaijan Grand Prix,leclerc,sauber,4,-1.317003397825942,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,4,perez_2018_4,Azerbaijan Grand Prix,perez,force_india,4,-0.9071887523007899,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,4,raikkonen_2018_4,Azerbaijan Grand Prix,raikkonen,ferrari,4,1.687599289937557,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,4,sainz_2018_4,Azerbaijan Grand Prix,sainz,renault,4,0.30334004695171696,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,4,stroll_2018_4,Azerbaijan Grand Prix,stroll,williams,4,-1.5050795987068908,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,4,vandoorne_2018_4,Azerbaijan Grand Prix,vandoorne,mclaren,4,0.30334004695171696,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,4,vettel_2018_4,Azerbaijan Grand Prix,vettel,ferrari,4,1.687599289937557,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,51,3
2018,5,alonso_2018_5,Spanish Grand Prix,alonso,mclaren,5,0.2057802425619983,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,bottas_2018_5,Spanish Grand Prix,bottas,mercedes,5,1.8802098620076981,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,brendon_hartley_2018_5,Spanish Grand Prix,brendon_hartley,toro_rosso,5,-1.2555523352102163,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,ericsson_2018_5,Spanish Grand Prix,ericsson,sauber,5,-1.2212421984631252,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,hamilton_2018_5,Spanish Grand Prix,hamilton,mercedes,5,1.8802098620076981,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,kevin_magnussen_2018_5,Spanish Grand Prix,kevin_magnussen,haas,5,-0.8586171287929395,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,leclerc_2018_5,Spanish Grand Prix,leclerc,sauber,5,-1.2212421984631252,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,max_verstappen_2018_5,Spanish Grand Prix,max_verstappen,red_bull,5,1.1726850526693837,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,perez_2018_5,Spanish Grand Prix,perez,force_india,5,-0.6922567448632919,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,ricciardo_2018_5,Spanish Grand Prix,ricciardo,red_bull,5,1.1726850526693837,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,sainz_2018_5,Spanish Grand Prix,sainz,renault,5,0.34760213974379583,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,sirotkin_2018_5,Spanish Grand Prix,sirotkin,williams,5,-1.4733133980382085,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,stroll_2018_5,Spanish Grand Prix,stroll,williams,5,-1.4733133980382085,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,5,vettel_2018_5,Spanish Grand Prix,vettel,ferrari,5,1.894704508384906,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,64,4
2018,6,bottas_2018_6,Monaco Grand Prix,bottas,mercedes,6,2.174614211119779,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,ericsson_2018_6,Monaco Grand Prix,ericsson,sauber,6,-1.3871853445776428,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,gasly_2018_6,Monaco Grand Prix,gasly,toro_rosso,6,-1.3776440830704768,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,grosjean_2018_6,Monaco Grand Prix,grosjean,haas,6,-0.7497755301038705,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,hamilton_2018_6,Monaco Grand Prix,hamilton,mercedes,6,2.174614211119779,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,hulkenberg_2018_6,Monaco Grand Prix,hulkenberg,renault,6,0.33649180736468826,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,kevin_magnussen_2018_6,Monaco Grand Prix,kevin_magnussen,haas,6,-0.7497755301038705,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,max_verstappen_2018_6,Monaco Grand Prix,max_verstappen,red_bull,6,1.416980857302058,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,ocon_2018_6,Monaco Grand Prix,ocon,force_india,6,-0.7356321180703714,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,perez_2018_6,Monaco Grand Prix,perez,force_india,6,-0.7356321180703714,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,raikkonen_2018_6,Monaco Grand Prix,raikkonen,ferrari,6,1.9003868385990987,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,ricciardo_2018_6,Monaco Grand Prix,ricciardo,red_bull,6,1.416980857302058,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,sainz_2018_6,Monaco Grand Prix,sainz,renault,6,0.33649180736468826,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,sirotkin_2018_6,Monaco Grand Prix,sirotkin,williams,6,-1.7028337248113425,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,stroll_2018_6,Monaco Grand Prix,stroll,williams,6,-1.7028337248113425,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,vandoorne_2018_6,Monaco Grand Prix,vandoorne,mclaren,6,0.12459708624808086,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,6,vettel_2018_6,Monaco Grand Prix,vettel,ferrari,6,1.9003868385990987,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,78,5
2018,7,bottas_2018_7,Canadian Grand Prix,bottas,mercedes,7,2.3204363041792035,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,ericsson_2018_7,Canadian Grand Prix,ericsson,sauber,7,-1.352087259934431,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,gasly_2018_7,Canadian Grand Prix,gasly,toro_rosso,7,-1.1836886052414244,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,grosjean_2018_7,Canadian Grand Prix,grosjean,haas,7,-1.107660583917352,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,hamilton_2018_7,Canadian Grand Prix,hamilton,mercedes,7,2.3204363041792035,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,hulkenberg_2018_7,Canadian Grand Prix,hulkenberg,renault,7,0.3111337509189947,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,kevin_magnussen_2018_7,Canadian Grand Prix,kevin_magnussen,haas,7,-1.107660583917352,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,leclerc_2018_7,Canadian Grand Prix,leclerc,sauber,7,-1.352087259934431,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,max_verstappen_2018_7,Canadian Grand Prix,max_verstappen,red_bull,7,1.589001695774976,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,ocon_2018_7,Canadian Grand Prix,ocon,force_india,7,-0.6189699648708188,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,perez_2018_7,Canadian Grand Prix,perez,force_india,7,-0.6189699648708188,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,raikkonen_2018_7,Canadian Grand Prix,raikkonen,ferrari,7,2.1605813075420532,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,ricciardo_2018_7,Canadian Grand Prix,ricciardo,red_bull,7,1.589001695774976,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,sainz_2018_7,Canadian Grand Prix,sainz,renault,7,0.3111337509189947,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,sirotkin_2018_7,Canadian Grand Prix,sirotkin,williams,7,-2.0867075702145197,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,vandoorne_2018_7,Canadian Grand Prix,vandoorne,mclaren,7,-0.03203907423667932,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,7,vettel_2018_7,Canadian Grand Prix,vettel,ferrari,7,2.1605813075420532,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,95,6
2018,8,bottas_2018_8,French Grand Prix,bottas,mercedes,8,2.4795321388725067,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,brendon_hartley_2018_8,French Grand Prix,brendon_hartley,toro_rosso,8,-1.189198819530477,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,ericsson_2018_8,French Grand Prix,ericsson,sauber,8,-1.4414625968223616,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,grosjean_2018_8,French Grand Prix,grosjean,haas,8,-1.240652048982313,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,hamilton_2018_8,French Grand Prix,hamilton,mercedes,8,2.4795321388725067,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,hulkenberg_2018_8,French Grand Prix,hulkenberg,renault,8,0.40164790599250677,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,kevin_magnussen_2018_8,French Grand Prix,kevin_magnussen,haas,8,-1.240652048982313,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,leclerc_2018_8,French Grand Prix,leclerc,sauber,8,-1.4414625968223616,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,max_verstappen_2018_8,French Grand Prix,max_verstappen,red_bull,8,1.847935811484022,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,raikkonen_2018_8,French Grand Prix,raikkonen,ferrari,8,2.3273385240124336,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
