season,round,race_name,driver_id,constructor_id,grid_position,finish_position,status,points,laps,RaceID,grid_position_zero_flag,fastf1_laps_count,fastf1_avg_lap_time,fastf1_best_lap_time,fastf1_avg_sector1,fastf1_avg_sector2,fastf1_avg_sector3,fastf1_first_compound,fastf1_main_compound,fastf1_max_tyre_life,fastf1_stints_count,fastf1_pit_in_count,fastf1_pit_out_count,status_normalizado,dnf_categoria,is_dnf,dnf_flag,dnf_driver_flag,dnf_car_flag,dnf_other_flag,circuit_id,compound_normalizado,compound_ordinal,circuito_albert_park,circuito_americas,circuito_bahrain,circuito_bahrain_outer,circuito_baku,circuito_catalunya,circuito_hockenheim,circuito_hungaroring,circuito_imola,circuito_interlagos,circuito_istanbul,circuito_jeddah,circuito_las_vegas,circuito_losail,circuito_marina_bay,circuito_miami,circuito_monaco,circuito_monza,circuito_mugello,circuito_nurburgring,circuito_portimao,circuito_red_bull_ring,circuito_ricard,circuito_rodriguez,circuito_shanghai,circuito_silverstone,circuito_sochi,circuito_spa,circuito_suzuka,circuito_villeneuve,circuito_yas_marina,circuito_zandvoort,constructor_alfa,constructor_alphatauri,constructor_alpine,constructor_aston_martin,constructor_ferrari,constructor_force_india,constructor_haas,constructor_mclaren,constructor_mercedes,constructor_racing_point,constructor_rb,constructor_red_bull,constructor_renault,constructor_sauber,constructor_toro_rosso,constructor_williams,laps_zscore,fastf1_laps_count_zscore,fastf1_avg_lap_time_zscore,fastf1_best_lap_time_zscore,fastf1_avg_sector1_zscore,fastf1_avg_sector2_zscore,fastf1_avg_sector3_zscore,fastf1_max_tyre_life_zscore,fastf1_stints_count_zscore,fastf1_pit_in_count_zscore,fastf1_pit_out_count_zscore,grid_position_minmax,laps_minmax
2018,1,Australian Grand Prix,vettel,ferrari,3,1,Finished,25.0,58,vettel_2018_1,0,58.0,92.6428103448276,86.469,30.73735087719298,24.595103448275864,36.78740350877193,ULTRASOFT,SOFT,32.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,albert_park,ULTRASOFT,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14430312730363337,-0.36092836321601923,-0.07891002969698431,-0.1493050502190619,0.2730481326674624,-1.4213942598069278,1.0564236352123404,-0.14279991667466058,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.15000000000000002,0.6627906976744186
2018,1,Australian Grand Prix,hamilton,mercedes,1,2,Finished,18.0,58,hamilton_2018_1,0,58.0,92.72963793103447,86.444,30.868649122807017,24.64475862068965,37.147603448275866,ULTRASOFT,SOFT,39.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,albert_park,ULTRASOFT,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.14430312730363337,-0.36092836321601923,-0.07365367606950392,-0.15079661034302988,0.2928757769397361,-1.4154510854014055,1.1055750529102606,0.5435409233166074,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.05,0.6627906976744186
2018,1,Australian Grand Prix,raikkonen,ferrari,2,3,Finished,15.0,58,raikkonen_2018_1,0,58.0,92.75158620689656,86.373,30.88571929824561,24.58144827586207,37.20877586206896,ULTRASOFT,SOFT,40.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,albert_park,ULTRASOFT,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14430312730363337,-0.36092836321601923,-0.07232497508304854,-0.15503264109510026,0.29545358264215715,-1.423028632768447,1.113922391519132,0.6415896147439314,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.1,0.6627906976744186
2018,1,Australian Grand Prix,ricciardo,red_bull,8,4,Finished,12.0,58,ricciardo_2018_1,0,58.0,92.76468965517242,85.945,30.96221052631579,24.600741379310342,37.0808275862069,SUPERSOFT,SOFT,32.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,albert_park,SUPERSOFT,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.14430312730363337,-0.36092836321601923,-0.07153172076277765,-0.18056815041744148,0.3070046955533164,-1.4207194618796346,1.096463090556212,-0.14279991667466058,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.4,0.6627906976744186
2018,1,Australian Grand Prix,alonso,mclaren,10,5,Finished,10.0,58,alonso_2018_1,0,58.0,93.12360344827586,86.978,30.921877192982457,24.802206896551724,37.26529310344828,ULTRASOFT,SOFT,32.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,albert_park,ULTRASOFT,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.14430312730363337,-0.36092836321601923,-0.049803858677138726,-0.11893688609506343,0.30091386789672153,-1.3966062698905586,1.1216345042473983,-0.14279991667466058,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.5,0.6627906976744186
2018,1,Australian Grand Prix,max_verstappen,red_bull,4,6,Finished,8.0,58,max_verstappen_2018_1,0,58.0,93.14186206896552,86.88,31.036807017543858,24.686413793103448,37.32241379310344,SUPERSOFT,SOFT,37.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,albert_park,SUPERSOFT,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.14430312730363337,-0.36092836321601923,-0.0486985214071813,-0.12478380178101986,0.3182696799795195,-1.4104654224278828,1.1294289610712969,0.3474435404619594,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.2,0.6627906976744186
2018,1,Australian Grand Prix,hulkenberg,renault,7,7,Finished,6.0,58,hulkenberg_2018_1,0,58.0,93.20610344827584,87.081,30.877140350877195,24.66251724137931,37.551965517241385,ULTRASOFT,SOFT,34.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,albert_park,ULTRASOFT,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.14430312730363337,-0.36092836321601923,-0.04480948772648485,-0.11279165838431275,0.294158056446388,-1.413325575110541,1.1607526550505913,0.05329746617998741,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.35000000000000003,0.6627906976744186
2018,1,Australian Grand Prix,bottas,mercedes,15,8,Finished,4.0,58,bottas_2018_1,0,58.0,93.23486206896553,87.019,31.006175438596493,24.69487931034483,37.37194827586207,ULTRASOFT,SUPERSOFT,33.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,albert_park,ULTRASOFT,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.14430312730363337,-0.36092836321601923,-0.043068503244624565,-0.11649072749175446,0.3136439361394093,-1.4094521937358295,1.136188234978651,-0.04475122524733659,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.75,0.6627906976744186
2018,1,Australian Grand Prix,vandoorne,mclaren,11,9,Finished,2.0,58,vandoorne_2018_1,0,58.0,93.24489655172414,86.958,30.96521052631579,24.85003448275862,37.29003448275862,ULTRASOFT,SUPERSOFT,33.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,albert_park,ULTRASOFT,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.14430312730363337,-0.36092836321601923,-0.04246103743620682,-0.12013013419423799,0.30745773232116236,-1.3908818373207943,1.125010612168405,-0.04475122524733659,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.55,0.6627906976744186
2018,1,Australian Grand Prix,sainz,renault,9,10,Finished,1.0,58,sainz_2018_1,0,58.0,93.43112068965516,87.944,31.00394736842105,24.852,37.44836206896552,ULTRASOFT,SOFT,36.0,2.0,1.0,1.0,finished,classificado,False,0,0,0,0,albert_park,ULTRASOFT,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.14430312730363337,-0.36092836321601923,-0.03118743228719525,-0.06130300290492053,0.3133074702358035,-1.3906465866672422,1.146615350174403,0.2493948490346354,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.45,0.6627906976744186
