season,round,RaceID,driver_id,constructor_id,race_name,circuit_id,finish_position
2018,5,hamilton_2018_5,hamilton,mercedes,Spanish Grand Prix,catalunya,1
2018,5,bottas_2018_5,bottas,mercedes,Spanish Grand Prix,catalunya,2
2018,5,max_verstappen_2018_5,max_verstappen,red_bull,Spanish Grand Prix,catalunya,3
2018,5,vettel_2018_5,vettel,ferrari,Spanish Grand Prix,catalunya,4
2018,5,ricciardo_2018_5,ricciardo,red_bull,Spanish Grand Prix,catalunya,5
2018,5,kevin_magnussen_2018_5,kevin_magnussen,haas,Spanish Grand Prix,catalunya,6
2018,5,sainz_2018_5,sainz,renault,Spanish Grand Prix,catalunya,7
2018,5,alonso_2018_5,alonso,mclaren,Spanish Grand Prix,catalunya,8
2018,5,perez_2018_5,perez,force_india,Spanish Grand Prix,catalunya,9
2018,5,leclerc_2018_5,leclerc,sauber,Spanish Grand Prix,catalunya,10
2018,5,stroll_2018_5,stroll,williams,Spanish Grand Prix,catalunya,11
2018,5,brendon_hartley_2018_5,brendon_hartley,toro_rosso,Spanish Grand Prix,catalunya,12
2018,5,ericsson_2018_5,ericsson,sauber,Spanish Grand Prix,catalunya,13
2018,5,sirotkin_2018_5,sirotkin,williams,Spanish Grand Prix,catalunya,14
2018,6,ricciardo_2018_6,ricciardo,red_bull,Monaco Grand Prix,monaco,1
2018,6,vettel_2018_6,vettel,ferrari,Monaco Grand Prix,monaco,2
2018,6,hamilton_2018_6,hamilton,mercedes,Monaco Grand Prix,monaco,3
2018,6,raikkonen_2018_6,raikkonen,ferrari,Monaco Grand Prix,monaco,4
2018,6,bottas_2018_6,bottas,mercedes,Monaco Grand Prix,monaco,5
2018,6,ocon_2018_6,ocon,force_india,Monaco Grand Prix,monaco,6
2018,6,gasly_2018_6,gasly,toro_rosso,Monaco Grand Prix,monaco,7
2018,6,hulkenberg_2018_6,hulkenberg,renault,Monaco Grand Prix,monaco,8
2018,6,max_verstappen_2018_6,max_verstappen,red_bull,Monaco Grand Prix,monaco,9
2018,6,sainz_2018_6,sainz,renault,Monaco Grand Prix,monaco,10
2018,6,ericsson_2018_6,ericsson,sauber,Monaco Grand Prix,monaco,11
2018,6,perez_2018_6,perez,force_india,Monaco Grand Prix,monaco,12
2018,6,kevin_magnussen_2018_6,kevin_magnussen,haas,Monaco Grand Prix,monaco,13
2018,6,vandoorne_2018_6,vandoorne,mclaren,Monaco Grand Prix,monaco,14
2018,6,grosjean_2018_6,grosjean,haas,Monaco Grand Prix,monaco,15
2018,6,sirotkin_2018_6,sirotkin,williams,Monaco Grand Prix,monaco,16
2018,6,stroll_2018_6,stroll,williams,Monaco Grand Prix,monaco,17
2018,7,vettel_2018_7,vettel,ferrari,Canadian Grand Prix,villeneuve,1
2018,7,bottas_2018_7,bottas,mercedes,Canadian Grand Prix,villeneuve,2
2018,7,max_verstappen_2018_7,max_verstappen,red_bull,Canadian Grand Prix,villeneuve,3
2018,7,ricciardo_2018_7,ricciardo,red_bull,Canadian Grand Prix,villeneuve,4
2018,7,hamilton_2018_7,hamilton,mercedes,Canadian Grand Prix,villeneuve,5
2018,7,raikkonen_2018_7,raikkonen,ferrari,Canadian Grand Prix,villeneuve,6
2018,7,hulkenberg_2018_7,hulkenberg,renault,Canadian Grand Prix,villeneuve,7
2018,7,sainz_2018_7,sainz,renault,Canadian Grand Prix,villeneuve,8
2018,7,ocon_2018_7,ocon,force_india,Canadian Grand Prix,villeneuve,9
2018,7,leclerc_2018_7,leclerc,sauber,Canadian Grand Prix,villeneuve,10
2018,7,gasly_2018_7,gasly,toro_rosso,Canadian Grand Prix,villeneuve,11
2018,7,grosjean_2018_7,grosjean,haas,Canadian Grand Prix,villeneuve,12
2018,7,kevin_magnussen_2018_7,kevin_magnussen,haas,Canadian Grand Prix,villeneuve,13
