season,round,race_name,circuit_id,driver_id,constructor_id,coluna,valor,mediana_historica,desvio_historico,limite_outlier,n_historico,criterio_historico,situacao,classificacao_auditoria,explicacao_observada
2018,4,Azerbaijan Grand Prix,baku,alonso,mclaren,tempo_total_pitstop,78.081,48.836,4.372482343017522,61.95344702905256,25,mesma_temporada_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
2018,4,Azerbaijan Grand Prix,baku,alonso,mclaren,tempo_medio_pitstop,39.0405,23.375,2.1013047625002432,29.67891428750073,56,mesma_temporada_rounds_anteriores,outlier_temporal,outlier_sem_causa,sem causa observada
2018,5,Spanish Grand Prix,catalunya,ocon,force_india,tempo_total_pitstop,47.91,22.628,1.9807083979161992,28.5701251937486,33,mesma_temporada_mesmo_num_pitstops,outlier_temporal,outlier_explicado,chuva
2018,5,Spanish Grand Prix,catalunya,ocon,force_india,tempo_medio_pitstop,47.91,23.009,3.0190749259178467,32.06622477775354,73,mesma_temporada_rounds_anteriores,outlier_temporal,outlier_explicado,chuva
2018,9,Austrian Grand Prix,red_bull_ring,vandoorne,mclaren,tempo_medio_pitstop,34.5415,23.869,3.322673420360969,33.837020261082905,144,mesma_temporada_rounds_anteriores,outlier_temporal,outlier_explicado,dnf_piloto
2018,10,British Grand Prix,silverstone,raikkonen,ferrari,tempo_medio_pitstop,33.779,23.666,3.3209530929422617,33.62885927882679,161,mesma_temporada_rounds_anteriores,outlier_temporal,outlier_sem_causa,sem causa observada
2018,14,Italian Grand Prix,monza,kevin_magnussen,haas,tempo_total_pitstop,38.563,23.392,3.1376918440693036,32.80507553220791,133,mesma_temporada_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
2018,14,Italian Grand Prix,monza,kevin_magnussen,haas,tempo_medio_pitstop,38.563,23.358,3.4429864483665473,33.686959345099645,233,mesma_temporada_rounds_anteriores,outlier_temporal,outlier_sem_causa,sem causa observada
2018,16,Russian Grand Prix,sochi,ricciardo,red_bull,tempo_total_pitstop,37.446,23.964,3.474019747411903,34.3860592422357,163,mesma_temporada_mesmo_num_pitstops,outlier_temporal,outlier_explicado,chuva
2018,16,Russian Grand Prix,sochi,ricciardo,red_bull,tempo_medio_pitstop,37.446,23.869,3.6315744574155238,34.763723372246574,270,mesma_temporada_rounds_anteriores,outlier_temporal,outlier_explicado,chuva
2018,18,United States Grand Prix,americas,grosjean,haas,tempo_total_pitstop,35.104,24.052,3.668893602647613,35.058680807942835,198,mesma_temporada_mesmo_num_pitstops,outlier_temporal,outlier_explicado,dnf_piloto
2018,21,Abu Dhabi Grand Prix,yas_marina,brendon_hartley,toro_rosso,tempo_total_pitstop,41.012,23.796999999999997,3.597142719515286,34.58842815854585,234,mesma_temporada_mesmo_num_pitstops,outlier_temporal,outlier_explicado,chuva
2018,21,Abu Dhabi Grand Prix,yas_marina,brendon_hartley,toro_rosso,tempo_medio_pitstop,41.012,23.763,3.6316874937467114,34.65806248124014,365,mesma_temporada_rounds_anteriores,outlier_temporal,outlier_explicado,chuva
2019,1,Australian Grand Prix,albert_park,giovinazzi,alfa,tempo_total_pitstop,27.172,21.9185,0.752838062501922,24.17701418750577,14,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
2019,1,Australian Grand Prix,albert_park,giovinazzi,alfa,tempo_medio_pitstop,27.172,22.2545,0.7535902974408963,24.51527089232269,17,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_sem_causa,sem causa observada
2019,1,Australian Grand Prix,albert_park,grosjean,haas,tempo_total_pitstop,29.981,21.9185,0.752838062501922,24.17701418750577,14,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
2019,1,Australian Grand Prix,albert_park,grosjean,haas,tempo_medio_pitstop,29.981,22.2545,0.7535902974408963,24.51527089232269,17,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_sem_causa,sem causa observada
2019,1,Australian Grand Prix,albert_park,kubica,williams,tempo_medio_pitstop,25.743,22.2545,0.7535902974408963,24.51527089232269,17,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_sem_causa,sem causa observada
2019,1,Australian Grand Prix,albert_park,ricciardo,renault,tempo_total_pitstop,33.027,21.9185,0.752838062501922,24.17701418750577,14,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
2019,1,Australian Grand Prix,albert_park,ricciardo,renault,tempo_medio_pitstop,33.027,22.2545,0.7535902974408963,24.51527089232269,17,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_sem_causa,sem causa observada
2019,2,Bahrain Grand Prix,bahrain,grosjean,haas,tempo_total_pitstop,32.082,25.106,2.2734187178491045,31.926256153547314,6,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
2019,2,Bahrain Grand Prix,bahrain,grosjean,haas,tempo_medio_pitstop,32.082,25.106,1.9720460448038504,31.022138134411552,19,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_sem_causa,sem causa observada
2019,2,Bahrain Grand Prix,bahrain,sainz,mclaren,tempo_medio_pitstop,31.854,25.106,1.9720460448038504,31.022138134411552,19,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_explicado,dnf_piloto
2019,3,Chinese Grand Prix,shanghai,kubica,williams,tempo_total_pitstop,32.627,22.942999999999998,0.5952682308561967,24.728804692568588,10,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
2019,3,Chinese Grand Prix,shanghai,kubica,williams,tempo_medio_pitstop,32.627,22.991,1.4739074276436628,27.412722282930986,20,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_sem_causa,sem causa observada
2019,3,Chinese Grand Prix,shanghai,kvyat,toro_rosso,tempo_medio_pitstop,28.837666666666667,22.991,1.4739074276436628,27.412722282930986,20,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_explicado,dnf_piloto
2019,3,Chinese Grand Prix,shanghai,norris,mclaren,tempo_medio_pitstop,35.63333333333333,22.991,1.4739074276436628,27.412722282930986,20,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_explicado,dnf_piloto
2019,3,Chinese Grand Prix,shanghai,sainz,mclaren,tempo_total_pitstop,68.41,46.5775,3.961895864916751,58.46318759475025,10,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
2019,3,Chinese Grand Prix,shanghai,sainz,mclaren,tempo_medio_pitstop,34.205,22.991,1.4739074276436628,27.412722282930986,20,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_sem_causa,sem causa observada
2019,6,Monaco Grand Prix,monaco,giovinazzi,alfa,fastf1_avg_lap_time,81.76838157894737,79.64900714285716,0.6212174008027483,81.5126593452654,20,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_explicado,chuva
2019,6,Monaco Grand Prix,monaco,giovinazzi,alfa,tempo_total_pitstop,35.651,24.277,1.3210335962798223,28.240100788839467,16,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_explicado,chuva
2019,6,Monaco Grand Prix,monaco,giovinazzi,alfa,tempo_medio_pitstop,35.651,24.311,1.7820571584777725,29.657171475433316,20,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_explicado,chuva
2019,6,Monaco Grand Prix,monaco,kubica,williams,fastf1_avg_lap_time,81.65590909090909,79.64900714285716,0.6212174008027483,81.5126593452654,20,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_explicado,chuva
2019,6,Monaco Grand Prix,monaco,leclerc,ferrari,fastf1_avg_lap_time,90.65025,79.64900714285716,0.6212174008027483,81.5126593452654,20,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_explicado,chuva e dnf_piloto
2019,6,Monaco Grand Prix,monaco,perez,racing_point,tempo_total_pitstop,28.463,24.277,1.3210335962798223,28.240100788839467,16,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_explicado,chuva
2019,7,Canadian Grand Prix,villeneuve,albon,toro_rosso,tempo_total_pitstop,37.95,23.6555,0.6039617951493291,25.467385385447987,16,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_explicado,dnf_piloto
2019,7,Canadian Grand Prix,villeneuve,albon,toro_rosso,tempo_medio_pitstop,37.95,23.7205,2.0676451164584266,29.923435349375282,18,mesmo_circuito_corridas_anteriores,outlier_temporal,outlier_explicado,dnf_piloto
2019,8,French Grand Prix,ricard,albon,toro_rosso,tempo_total_pitstop,30.279,24.7075,1.555171700000844,29.373015100002533,14,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
2019,8,French Grand Prix,ricard,bottas,mercedes,tempo_total_pitstop,30.412,24.7075,1.555171700000844,29.373015100002533,14,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
2019,8,French Grand Prix,ricard,gasly,red_bull,tempo_total_pitstop,30.228,24.7075,1.555171700000844,29.373015100002533,14,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
2019,8,French Grand Prix,ricard,grosjean,haas,tempo_total_pitstop,30.837,24.7075,1.555171700000844,29.373015100002533,14,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
2019,8,French Grand Prix,ricard,hamilton,mercedes,tempo_total_pitstop,30.186,24.7075,1.555171700000844,29.373015100002533,14,mesmo_circuito_mesmo_num_pitstops,outlier_temporal,outlier_sem_causa,sem causa observada
