finish_position,season,round,grid_position,altitude_m,corners,length_km,lat,long,qualifying_position,Q1_s,Q2_s,Q3_s,registrou_tempo_q1,chegou_no_q2,chegou_no_q3,qualifying_position_imputada,diferenca_grid_qualifying,driver_id_aitken,driver_id_albon,driver_id_alonso,driver_id_antonelli,driver_id_bearman,driver_id_bortoleto,driver_id_bottas,driver_id_brendon_hartley,driver_id_colapinto,driver_id_de_vries,driver_id_doohan,driver_id_ericsson,driver_id_gasly,driver_id_giovinazzi,driver_id_grosjean,driver_id_hadjar,driver_id_hamilton,driver_id_hulkenberg,driver_id_kevin_magnussen,driver_id_kubica,driver_id_kvyat,driver_id_latifi,driver_id_lawson,driver_id_leclerc,driver_id_max_verstappen,driver_id_mazepin,driver_id_mick_schumacher,driver_id_norris,driver_id_ocon,driver_id_perez,driver_id_piastri,driver_id_pietro_fittipaldi,driver_id_raikkonen,driver_id_ricciardo,driver_id_russell,driver_id_sainz,driver_id_sargeant,driver_id_sirotkin,driver_id_stroll,driver_id_tsunoda,driver_id_vandoorne,driver_id_vettel,driver_id_zhou,constructor_id_alfa,constructor_id_alphatauri,constructor_id_alpine,constructor_id_aston_martin,constructor_id_ferrari,constructor_id_force_india,constructor_id_haas,constructor_id_mclaren,constructor_id_mercedes,constructor_id_racing_point,constructor_id_rb,constructor_id_red_bull,constructor_id_renault,constructor_id_sauber,constructor_id_toro_rosso,constructor_id_williams,circuit_id_albert_park,circuit_id_americas,circuit_id_bahrain,circuit_id_bahrain_outer,circuit_id_baku,circuit_id_catalunya,circuit_id_hockenheimring,circuit_id_hungaroring,circuit_id_imola,circuit_id_interlagos,circuit_id_istanbul,circuit_id_jeddah,circuit_id_losail,circuit_id_marina_bay,circuit_id_miami,circuit_id_monaco,circuit_id_monza,circuit_id_mugello,circuit_id_nurburgring,circuit_id_portimao,circuit_id_red_bull_ring,circuit_id_ricard,circuit_id_rodriguez,circuit_id_shanghai,circuit_id_silverstone,circuit_id_sochi,circuit_id_spa,circuit_id_suzuka,circuit_id_vegas,circuit_id_villeneuve,circuit_id_yas_marina,circuit_id_zandvoort,circuit_type_0,circuit_type_1
11,2018,1,12,13,16,5.278,-37.8497,144.968,13.0,84.344,84.005,0.0,1,1,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,2018,1,14,13,16,5.278,-37.8497,144.968,15.0,84.503,84.786,0.0,1,1,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,2018,1,18,13,16,5.278,-37.8497,144.968,18.0,84.636,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,2018,1,13,13,16,5.278,-37.8497,144.968,14.0,84.464,84.23,0.0,1,1,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,2018,1,16,13,16,5.278,-37.8497,144.968,16.0,84.532,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,2018,1,6,13,16,5.278,-37.8497,144.968,7.0,83.671,83.468,83.339,1,1,1,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,2018,1,5,13,16,5.278,-37.8497,144.968,6.0,83.909,83.3,83.187,1,1,1,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,2018,1,20,13,16,5.278,-37.8497,144.968,20.0,85.295,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,2018,1,17,13,16,5.278,-37.8497,144.968,17.0,84.556,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,2018,1,19,13,16,5.278,-37.8497,144.968,19.0,84.922,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
