season,meeting_key,session_key,driver_number,position,dnf,number_of_laps
2025,1258,10022,6,10.0,False,50.0
2025,1258,10022,14,11.0,False,50.0
2025,1258,10022,30,12.0,False,50.0
2025,1258,10022,87,13.0,False,50.0
2025,1258,10022,31,14.0,False,50.0
2025,1258,10022,27,15.0,False,49.0
2025,1258,10022,18,16.0,False,49.0
2025,1258,10022,7,17.0,False,49.0
2025,1258,10022,5,18.0,False,49.0
2025,1258,10022,22,,True,1.0
2025,1258,10022,10,,True,0.0
2025,1259,10033,81,1.0,False,57.0
2025,1259,10033,4,2.0,False,57.0
2025,1259,10033,63,3.0,False,57.0
2025,1259,10033,1,4.0,False,57.0
2025,1259,10033,23,5.0,False,57.0
2025,1259,10033,12,6.0,False,57.0
2025,1259,10033,16,7.0,False,57.0
2025,1259,10033,44,8.0,False,57.0
2025,1259,10033,55,9.0,False,57.0
2025,1259,10033,22,10.0,False,57.0
2025,1259,10033,6,11.0,False,57.0
2025,1259,10033,31,12.0,False,57.0
2025,1259,10033,10,13.0,False,57.0
2025,1259,10033,27,14.0,False,56.0
2025,1259,10033,14,15.0,False,56.0
2025,1259,10033,18,16.0,False,56.0
2025,1259,10033,30,,True,36.0
2025,1259,10033,5,,True,30.0
2025,1259,10033,87,,True,27.0
2025,1259,10033,7,,True,0.0
2025,1260,9987,1,1.0,False,63.0
2025,1260,9987,4,2.0,False,63.0
2025,1260,9987,81,3.0,False,63.0
2025,1260,9987,44,4.0,False,63.0
2025,1260,9987,23,5.0,False,63.0
2025,1260,9987,16,6.0,False,63.0
2025,1260,9987,63,7.0,False,63.0
2025,1260,9987,55,8.0,False,63.0
2025,1260,9987,6,9.0,False,63.0
2025,1260,9987,22,10.0,False,63.0
2025,1260,9987,14,11.0,False,63.0
2025,1260,9987,27,12.0,False,63.0
2025,1260,9987,10,13.0,False,63.0
2025,1260,9987,30,14.0,False,63.0
2025,1260,9987,18,15.0,False,63.0
2025,1260,9987,43,16.0,False,63.0
2025,1260,9987,87,17.0,False,63.0
2025,1260,9987,5,18.0,False,63.0
2025,1260,9987,12,,True,44.0
2025,1260,9987,31,,True,27.0
