Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,season,round
NOR,37.0,0 days 00:01:24.243000,0 days 00:00:29.460000,0 days 00:00:33.182000,0 days 00:00:21.601000,MEDIUM,4.0,4.0,2023,19
NOR,38.0,0 days 00:01:23.841000,0 days 00:00:29.518000,0 days 00:00:32.810000,0 days 00:00:21.513000,MEDIUM,5.0,4.0,2023,19
NOR,39.0,0 days 00:01:23.521000,0 days 00:00:28.926000,0 days 00:00:32.934000,0 days 00:00:21.661000,MEDIUM,6.0,4.0,2023,19
NOR,40.0,0 days 00:01:23.409000,0 days 00:00:28.884000,0 days 00:00:32.999000,0 days 00:00:21.526000,MEDIUM,7.0,4.0,2023,19
NOR,41.0,0 days 00:01:23.043000,0 days 00:00:28.630000,0 days 00:00:32.872000,0 days 00:00:21.541000,MEDIUM,8.0,4.0,2023,19
NOR,42.0,0 days 00:01:23.328000,0 days 00:00:29.115000,0 days 00:00:32.609000,0 days 00:00:21.604000,MEDIUM,9.0,4.0,2023,19
NOR,43.0,0 days 00:01:22.974000,0 days 00:00:29.160000,0 days 00:00:32.293000,0 days 00:00:21.521000,MEDIUM,10.0,4.0,2023,19
NOR,44.0,0 days 00:01:23.021000,0 days 00:00:28.751000,0 days 00:00:32.671000,0 days 00:00:21.599000,MEDIUM,11.0,4.0,2023,19
NOR,45.0,0 days 00:01:23.100000,0 days 00:00:28.447000,0 days 00:00:32.911000,0 days 00:00:21.742000,MEDIUM,12.0,4.0,2023,19
NOR,46.0,0 days 00:01:23.845000,0 days 00:00:29.175000,0 days 00:00:32.752000,0 days 00:00:21.918000,MEDIUM,13.0,4.0,2023,19
NOR,47.0,0 days 00:01:23.041000,0 days 00:00:28.618000,0 days 00:00:32.621000,0 days 00:00:21.802000,MEDIUM,14.0,4.0,2023,19
NOR,48.0,0 days 00:01:23.518000,0 days 00:00:29.362000,0 days 00:00:32.560000,0 days 00:00:21.596000,MEDIUM,15.0,4.0,2023,19
NOR,49.0,0 days 00:01:23.356000,0 days 00:00:28.912000,0 days 00:00:32.849000,0 days 00:00:21.595000,MEDIUM,16.0,4.0,2023,19
NOR,50.0,0 days 00:01:23.109000,0 days 00:00:29.452000,0 days 00:00:32.082000,0 days 00:00:21.575000,MEDIUM,17.0,4.0,2023,19
NOR,51.0,0 days 00:01:22.672000,0 days 00:00:29.222000,0 days 00:00:32.002000,0 days 00:00:21.448000,MEDIUM,18.0,4.0,2023,19
NOR,52.0,0 days 00:01:22.675000,0 days 00:00:29.022000,0 days 00:00:32.203000,0 days 00:00:21.450000,MEDIUM,19.0,4.0,2023,19
NOR,53.0,0 days 00:01:22.601000,0 days 00:00:29.004000,0 days 00:00:32.026000,0 days 00:00:21.571000,MEDIUM,20.0,4.0,2023,19
NOR,54.0,0 days 00:01:22.497000,0 days 00:00:28.944000,0 days 00:00:32.185000,0 days 00:00:21.368000,MEDIUM,21.0,4.0,2023,19
NOR,55.0,0 days 00:01:22.642000,0 days 00:00:28.912000,0 days 00:00:32.101000,0 days 00:00:21.629000,MEDIUM,22.0,4.0,2023,19
NOR,56.0,0 days 00:01:22.027000,0 days 00:00:28.681000,0 days 00:00:32.014000,0 days 00:00:21.332000,MEDIUM,23.0,4.0,2023,19
NOR,57.0,0 days 00:01:22.635000,0 days 00:00:29.173000,0 days 00:00:32.071000,0 days 00:00:21.391000,MEDIUM,24.0,4.0,2023,19
NOR,58.0,0 days 00:01:22.492000,0 days 00:00:28.917000,0 days 00:00:32.094000,0 days 00:00:21.481000,MEDIUM,25.0,4.0,2023,19
NOR,59.0,0 days 00:01:22.460000,0 days 00:00:28.853000,0 days 00:00:32.184000,0 days 00:00:21.423000,MEDIUM,26.0,4.0,2023,19
NOR,60.0,0 days 00:01:23.208000,0 days 00:00:28.788000,0 days 00:00:32.977000,0 days 00:00:21.443000,MEDIUM,27.0,4.0,2023,19
NOR,61.0,0 days 00:01:22.498000,0 days 00:00:29.097000,0 days 00:00:32.032000,0 days 00:00:21.369000,MEDIUM,28.0,4.0,2023,19
NOR,62.0,0 days 00:01:22.421000,0 days 00:00:29.019000,0 days 00:00:32.094000,0 days 00:00:21.308000,MEDIUM,29.0,4.0,2023,19
NOR,63.0,0 days 00:01:22.403000,0 days 00:00:28.920000,0 days 00:00:32.036000,0 days 00:00:21.447000,MEDIUM,30.0,4.0,2023,19
NOR,64.0,0 days 00:01:22.496000,0 days 00:00:28.883000,0 days 00:00:32.139000,0 days 00:00:21.474000,MEDIUM,31.0,4.0,2023,19
NOR,65.0,0 days 00:01:22.775000,0 days 00:00:28.897000,0 days 00:00:32.258000,0 days 00:00:21.620000,MEDIUM,32.0,4.0,2023,19
NOR,66.0,0 days 00:01:23.188000,0 days 00:00:28.815000,0 days 00:00:32.782000,0 days 00:00:21.591000,MEDIUM,33.0,4.0,2023,19
NOR,67.0,0 days 00:01:23.916000,0 days 00:00:28.733000,0 days 00:00:33.273000,0 days 00:00:21.910000,MEDIUM,34.0,4.0,2023,19
NOR,68.0,0 days 00:01:22.787000,0 days 00:00:29.216000,0 days 00:00:32.125000,0 days 00:00:21.446000,MEDIUM,35.0,4.0,2023,19
NOR,69.0,0 days 00:01:22.502000,0 days 00:00:29.135000,0 days 00:00:31.983000,0 days 00:00:21.384000,MEDIUM,36.0,4.0,2023,19
NOR,70.0,0 days 00:01:22.152000,0 days 00:00:29.030000,0 days 00:00:31.807000,0 days 00:00:21.315000,MEDIUM,37.0,4.0,2023,19
NOR,71.0,0 days 00:01:21.944000,0 days 00:00:28.940000,0 days 00:00:31.796000,0 days 00:00:21.208000,MEDIUM,38.0,4.0,2023,19
HAM,1.0,0 days 00:01:29.425000,,0 days 00:00:34.136000,0 days 00:00:21.616000,MEDIUM,1.0,1.0,2023,19
HAM,2.0,0 days 00:01:24.314000,0 days 00:00:29.499000,0 days 00:00:33.152000,0 days 00:00:21.663000,MEDIUM,2.0,1.0,2023,19
HAM,3.0,0 days 00:01:24.162000,0 days 00:00:29.430000,0 days 00:00:33.174000,0 days 00:00:21.558000,MEDIUM,3.0,1.0,2023,19
HAM,4.0,0 days 00:01:23.887000,0 days 00:00:28.929000,0 days 00:00:33.126000,0 days 00:00:21.832000,MEDIUM,4.0,1.0,2023,19
HAM,5.0,0 days 00:01:45.164000,0 days 00:00:41.359000,0 days 00:00:39.419000,0 days 00:00:24.386000,MEDIUM,5.0,1.0,2023,19
HAM,6.0,0 days 00:01:23.300000,0 days 00:00:29.019000,0 days 00:00:32.732000,0 days 00:00:21.549000,MEDIUM,6.0,1.0,2023,19
HAM,7.0,0 days 00:01:23.707000,0 days 00:00:28.896000,0 days 00:00:33.201000,0 days 00:00:21.610000,MEDIUM,7.0,1.0,2023,19
