season,meeting_key,session_key,date,air_temperature,humidity,rainfall,track_temperature,wind_speed
2025,1254,9693,2025-03-16T04:14:30.785000+00:00,15.6,74.0,0,19.0,5.1
2025,1254,9693,2025-03-16T04:15:30.796000+00:00,15.7,74.0,0,19.0,5.6
2025,1254,9693,2025-03-16T04:16:30.790000+00:00,15.8,73.0,0,19.0,5.1
2025,1254,9693,2025-03-16T04:17:30.803000+00:00,15.7,74.0,0,19.0,3.8
2025,1254,9693,2025-03-16T04:18:30.825000+00:00,15.7,74.0,0,19.2,3.9
2025,1254,9693,2025-03-16T04:19:30.804000+00:00,15.8,74.0,0,19.2,3.5
2025,1254,9693,2025-03-16T04:20:30.825000+00:00,15.8,75.0,0,19.2,3.7
2025,1254,9693,2025-03-16T04:21:30.822000+00:00,15.8,75.0,1,19.2,5.2
2025,1254,9693,2025-03-16T04:22:30.840000+00:00,15.8,75.0,1,19.2,4.6
2025,1254,9693,2025-03-16T04:23:30.873000+00:00,15.8,76.0,0,19.2,3.0
2025,1254,9693,2025-03-16T04:24:30.865000+00:00,15.8,75.0,1,19.2,5.1
2025,1254,9693,2025-03-16T04:25:30.882000+00:00,15.8,73.0,1,19.2,4.9
2025,1254,9693,2025-03-16T04:26:30.890000+00:00,15.8,74.0,1,19.0,3.3
2025,1254,9693,2025-03-16T04:27:30.880000+00:00,15.8,76.0,1,19.0,3.9
2025,1254,9693,2025-03-16T04:28:30.906000+00:00,15.8,76.0,1,19.0,3.4
2025,1254,9693,2025-03-16T04:29:30.925000+00:00,15.9,76.0,1,19.0,3.5
2025,1254,9693,2025-03-16T04:30:30.910000+00:00,15.8,76.0,0,19.0,2.6
2025,1254,9693,2025-03-16T04:31:30.910000+00:00,15.8,75.0,0,19.0,3.9
2025,1254,9693,2025-03-16T04:32:30.936000+00:00,15.8,75.0,0,19.0,3.7
2025,1254,9693,2025-03-16T04:33:30.915000+00:00,15.9,76.0,0,19.0,3.3
2025,1254,9693,2025-03-16T04:34:30.932000+00:00,15.9,75.0,0,19.1,4.7
2025,1254,9693,2025-03-16T04:35:30.940000+00:00,15.9,75.0,0,19.1,4.5
2025,1254,9693,2025-03-16T04:36:30.944000+00:00,15.9,76.0,0,19.1,1.9
2025,1254,9693,2025-03-16T04:37:30.970000+00:00,15.9,74.0,0,19.1,3.4
2025,1254,9693,2025-03-16T04:38:30.954000+00:00,15.9,74.0,0,19.1,4.1
2025,1254,9693,2025-03-16T04:39:30.954000+00:00,15.9,76.0,0,19.1,2.5
2025,1254,9693,2025-03-16T04:40:30.957000+00:00,15.9,74.0,0,19.1,4.3
2025,1254,9693,2025-03-16T04:41:30.967000+00:00,16.0,74.0,0,19.1,3.6
