AirTemp,Humidity,Rainfall,TrackTemp,WindSpeed,season,round
28.2,44.7,False,32.7,1.6,2018,2
28.2,44.7,False,32.7,1.6,2018,2
28.2,44.8,False,32.8,1.0,2018,2
28.2,44.8,False,32.8,1.0,2018,2
28.2,44.8,False,32.8,0.9,2018,2
28.2,45.0,False,32.8,0.9,2018,2
28.1,45.1,False,32.8,1.1,2018,2
28.2,45.0,False,32.6,0.7,2018,2
28.2,45.0,False,32.6,0.7,2018,2
28.3,44.6,False,32.7,1.0,2018,2
28.3,44.6,False,32.7,0.6,2018,2
28.2,45.0,False,32.4,0.9,2018,2
28.3,44.9,False,32.4,0.7,2018,2
28.3,44.5,False,32.5,1.7,2018,2
28.3,44.7,False,32.4,1.1,2018,2
28.3,44.7,False,32.4,1.1,2018,2
28.0,45.8,False,32.2,1.7,2018,2
28.0,46.2,False,32.1,0.7,2018,2
28.1,46.4,False,32.2,0.9,2018,2
28.1,46.2,False,32.2,1.2,2018,2
28.2,46.3,False,32.3,1.0,2018,2
28.1,46.4,False,32.2,0.7,2018,2
28.2,46.2,False,32.2,1.4,2018,2
28.2,46.2,False,32.2,1.4,2018,2
28.1,46.6,False,32.2,0.8,2018,2
28.1,46.4,False,32.2,0.8,2018,2
28.0,46.6,False,32.0,0.7,2018,2
28.1,46.4,False,32.0,0.9,2018,2
28.1,46.4,False,32.2,0.9,2018,2
28.1,46.7,False,32.0,0.9,2018,2
28.1,46.7,False,32.0,0.9,2018,2
28.0,47.1,False,31.9,0.5,2018,2
28.0,47.3,False,31.9,1.0,2018,2
27.9,47.2,False,31.8,0.8,2018,2
27.9,46.8,False,31.8,1.0,2018,2
27.9,46.4,False,31.9,0.6,2018,2
27.9,46.4,False,31.9,0.6,2018,2
27.9,46.4,False,31.9,0.6,2018,2
27.9,46.7,False,31.9,1.2,2018,2
27.9,46.7,False,31.9,1.2,2018,2
27.9,46.8,False,31.7,1.6,2018,2
27.9,46.7,False,31.8,1.3,2018,2
27.9,46.7,False,31.8,1.3,2018,2
28.1,46.8,False,31.8,1.3,2018,2
28.1,46.8,False,31.8,1.3,2018,2
28.1,46.9,False,31.9,1.3,2018,2
28.0,47.4,False,31.8,0.9,2018,2
28.1,47.7,False,31.7,0.8,2018,2
28.1,47.7,False,31.7,0.8,2018,2
27.9,48.3,False,31.7,0.4,2018,2
27.9,48.3,False,31.7,0.4,2018,2
27.9,48.3,False,31.7,0.4,2018,2
28.0,49.9,False,31.9,0.0,2018,2
28.0,49.9,False,31.9,0.0,2018,2
27.9,50.8,False,31.4,0.8,2018,2
27.7,52.2,False,31.4,0.9,2018,2
27.6,52.5,False,31.1,1.1,2018,2
27.6,52.5,False,31.1,1.1,2018,2
27.6,52.8,False,31.1,1.4,2018,2
27.6,52.8,False,31.1,1.4,2018,2
27.5,52.9,False,31.1,0.7,2018,2
27.5,52.7,False,31.1,0.8,2018,2
27.6,52.3,False,31.3,0.9,2018,2
27.5,52.2,False,31.2,0.5,2018,2
27.5,52.3,False,31.2,0.9,2018,2
27.5,52.1,False,31.3,0.4,2018,2
27.5,52.1,False,31.3,0.4,2018,2
27.5,52.1,False,31.3,0.7,2018,2
27.5,52.1,False,31.3,0.7,2018,2
27.5,51.9,False,31.3,0.6,2018,2
27.6,51.6,False,31.4,0.7,2018,2
27.6,51.6,False,31.4,0.7,2018,2
27.6,51.2,False,31.3,0.5,2018,2
27.6,51.2,False,31.3,0.5,2018,2
27.7,50.6,False,31.5,0.5,2018,2
27.6,50.2,False,31.5,0.9,2018,2
27.6,50.4,False,31.1,1.0,2018,2
19.0,21.2,False,39.0,1.8,2018,3
18.9,21.5,False,39.0,2.2,2018,3
19.0,21.9,False,39.0,2.2,2018,3
19.1,22.3,False,39.0,1.9,2018,3
19.2,22.4,False,39.0,1.4,2018,3
19.1,22.9,False,39.0,1.3,2018,3
19.0,23.5,False,39.0,1.8,2018,3
19.5,23.1,False,38.7,2.1,2018,3
19.6,23.4,False,38.6,3.1,2018,3
19.6,23.6,False,38.5,1.3,2018,3
