season,round,race_name,driver_id,constructor_id,grid_position,finish_position,status,points,laps
2025,22,Las Vegas Grand Prix,ocon,haas,13,9,Finished,2,50
2025,22,Las Vegas Grand Prix,bearman,haas,14,10,Finished,1,50
2025,22,Las Vegas Grand Prix,alonso,aston_martin,7,11,Finished,0,50
2025,22,Las Vegas Grand Prix,tsunoda,red_bull,20,12,Finished,0,50
2025,22,Las Vegas Grand Prix,gasly,alpine,10,13,Finished,0,50
2025,22,Las Vegas Grand Prix,lawson,rb,6,14,Lapped,0,49
2025,22,Las Vegas Grand Prix,colapinto,alpine,15,15,Lapped,0,49
2025,22,Las Vegas Grand Prix,albon,williams,16,16,Retired,0,35
2025,22,Las Vegas Grand Prix,bortoleto,sauber,18,17,Retired,0,2
2025,22,Las Vegas Grand Prix,stroll,aston_martin,12,18,Retired,0,0
2025,22,Las Vegas Grand Prix,norris,mclaren,1,19,Disqualified,0,50
2025,22,Las Vegas Grand Prix,piastri,mclaren,5,20,Disqualified,0,50
2025,23,Qatar Grand Prix,max_verstappen,red_bull,3,1,Finished,25,57
2025,23,Qatar Grand Prix,piastri,mclaren,1,2,Finished,18,57
2025,23,Qatar Grand Prix,sainz,williams,7,3,Finished,15,57
2025,23,Qatar Grand Prix,norris,mclaren,2,4,Finished,12,57
2025,23,Qatar Grand Prix,antonelli,mercedes,5,5,Finished,10,57
2025,23,Qatar Grand Prix,russell,mercedes,4,6,Finished,8,57
2025,23,Qatar Grand Prix,alonso,aston_martin,8,7,Finished,6,57
2025,23,Qatar Grand Prix,leclerc,ferrari,10,8,Finished,4,57
2025,23,Qatar Grand Prix,lawson,rb,12,9,Finished,2,57
2025,23,Qatar Grand Prix,tsunoda,red_bull,15,10,Finished,1,57
2025,23,Qatar Grand Prix,albon,williams,14,11,Finished,0,57
2025,23,Qatar Grand Prix,hamilton,ferrari,17,12,Finished,0,57
2025,23,Qatar Grand Prix,bortoleto,sauber,19,13,Finished,0,57
2025,23,Qatar Grand Prix,colapinto,alpine,20,14,Lapped,0,56
2025,23,Qatar Grand Prix,ocon,haas,16,15,Lapped,0,56
2025,23,Qatar Grand Prix,gasly,alpine,9,16,Lapped,0,56
2025,23,Qatar Grand Prix,stroll,aston_martin,18,17,Retired,0,55
2025,23,Qatar Grand Prix,hadjar,rb,6,18,Retired,0,55
2025,23,Qatar Grand Prix,bearman,haas,13,19,Retired,0,41
2025,23,Qatar Grand Prix,hulkenberg,sauber,11,20,Retired,0,6
2025,24,Abu Dhabi Grand Prix,max_verstappen,red_bull,1,1,Finished,25,58
2025,24,Abu Dhabi Grand Prix,piastri,mclaren,3,2,Finished,18,58
2025,24,Abu Dhabi Grand Prix,norris,mclaren,2,3,Finished,15,58
2025,24,Abu Dhabi Grand Prix,leclerc,ferrari,5,4,Finished,12,58
2025,24,Abu Dhabi Grand Prix,russell,mercedes,4,5,Finished,10,58
2025,24,Abu Dhabi Grand Prix,alonso,aston_martin,6,6,Finished,8,58
2025,24,Abu Dhabi Grand Prix,ocon,haas,8,7,Finished,6,58
2025,24,Abu Dhabi Grand Prix,hamilton,ferrari,16,8,Finished,4,58
2025,24,Abu Dhabi Grand Prix,hulkenberg,sauber,18,9,Finished,2,58
2025,24,Abu Dhabi Grand Prix,stroll,aston_martin,15,10,Finished,1,58
2025,24,Abu Dhabi Grand Prix,bortoleto,sauber,7,11,Finished,0,58
2025,24,Abu Dhabi Grand Prix,bearman,haas,11,12,Finished,0,58
2025,24,Abu Dhabi Grand Prix,sainz,williams,12,13,Finished,0,58
2025,24,Abu Dhabi Grand Prix,tsunoda,red_bull,10,14,Finished,0,58
2025,24,Abu Dhabi Grand Prix,antonelli,mercedes,14,15,Finished,0,58
2025,24,Abu Dhabi Grand Prix,albon,williams,17,16,Finished,0,58
2025,24,Abu Dhabi Grand Prix,hadjar,rb,9,17,Lapped,0,57
2025,24,Abu Dhabi Grand Prix,lawson,rb,13,18,Lapped,0,57
2025,24,Abu Dhabi Grand Prix,gasly,alpine,19,19,Lapped,0,57
2025,24,Abu Dhabi Grand Prix,colapinto,alpine,20,20,Lapped,0,57
