modelo,modelo_label,mae_medio,mae_std,rmse_medio,rmse_std,r2_medio,kendall_tau_medio,n_corridas,n_predicoes,score_composto_exploratorio
lightgbm_tuned,LightGBM,2.4567392933905134,0.5811760752774378,3.0058551691970554,0.5628559978335249,0.5613639300227544,0.6390238696515527,7,114,0.5121927829151685
random_forest_tuned,Random Forest,2.526662736548451,0.5846199132573494,3.0788843572743976,0.5545089089937422,0.5428861303345279,0.6139421951752805,7,114,0.504308369881911
xgboost_tuned,XGBoost,2.6323779126075926,0.5299837945300198,3.1706277084377037,0.5492068681339081,0.5174509783146883,0.6054387009781154,7,114,0.4967349604758429
ridge_baseline,Ridge,2.7427865964526097,0.5177118806215791,3.250465281794317,0.5080220872993284,0.4925099917246727,0.6075869484095933,7,114,0.4907662528524248
