modelo,mae_medio,mae_std,rmse_medio,rmse_std,r2_medio,kendall_tau_medio,top3_accuracy_medio,score_composto_medio,melhor_fold,pior_fold,tempo_tuning_segundos,tempo_tuning_minutos
lightgbm_tuned,2.3263649403867808,0.1316476611070848,3.014611194312024,0.12431301826677667,0.6582273153506994,0.6529992837186587,0.2563131313131313,0.4971216889537039,2024,2023,21.97133424600179,0.3661889041000298
xgboost_tuned,2.3479488690694175,0.1358155885427147,3.0206867922253466,0.12096309844323418,0.656875212987264,0.6523437329610516,0.2563131313131313,0.49628302670053837,2024,2023,36.69246024199674,0.611541004033279
random_forest_tuned,2.373241984195871,0.1235486291655607,3.0515128439959534,0.11820346430610354,0.6500652535459496,0.6435623790441315,0.2689393939393939,0.4956620943446357,2024,2025,68.67761396999413,1.144626899499902
ridge_baseline,2.2723278939788485,0.13055237607372638,2.957368494173126,0.1437669538615594,0.6710139245185879,0.6543319098941108,0.18560606060606055,0.48995732275928916,2024,2025,4.131943305001187,0.06886572175001977
