mae,rmse,r2,kendall_tau,train_until,valid_season,decay,n_train,n_valid
2.4539122581481934,3.0743789728041677,0.634516716003418,0.6448276759985175,2022,2023,0.99,1725,374
2.178032159805298,2.865311926459855,0.7001379728317261,0.6849650678985045,2023,2024,0.99,2099,425
2.392409324645996,3.1085725448510226,0.63888019323349,0.6276365798231124,2024,2025,0.99,2524,419
