cenario,linhas_treino,linhas_teste,MAE,RMSE,R2,Top3_accuracy
A_atual_sem_grid_position_sem_flag,2524,419,2.3065340306608797,3.045960939564138,0.6532807700550912,0.736111111111111
B_remover_registros_grid_zero,2489,419,2.2995093437389698,3.0434357633685507,0.6538554092226008,0.6944444444444443
C_incluir_grid_position_zero_flag,2524,419,2.3028243063839526,3.036670345978502,0.6553926256746856,0.7222222222222222
