RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,experimento,train_start,train_end,valid_season,decay
alonso_2025_4,2025,4,alonso,aston_martin,15,11.316287126741981,A,2018,2024,2025,0.95
lawson_2025_4,2025,4,lawson,rb,16,13.665410679893611,A,2018,2024,2025,0.95
stroll_2025_4,2025,4,stroll,aston_martin,17,14.273882212869623,A,2018,2024,2025,0.95
bortoleto_2025_4,2025,4,bortoleto,sauber,18,15.757108361266603,A,2018,2024,2025,0.95
piastri_2025_5,2025,5,piastri,mclaren,1,3.439246879823896,A,2018,2024,2025,0.95
max_verstappen_2025_5,2025,5,max_verstappen,red_bull,2,2.02608988353713,A,2018,2024,2025,0.95
leclerc_2025_5,2025,5,leclerc,ferrari,3,3.4011686772246894,A,2018,2024,2025,0.95
norris_2025_5,2025,5,norris,mclaren,4,6.64676213204125,A,2018,2024,2025,0.95
russell_2025_5,2025,5,russell,mercedes,5,3.882497867391344,A,2018,2024,2025,0.95
antonelli_2025_5,2025,5,antonelli,mercedes,6,5.349468701133151,A,2018,2024,2025,0.95
hamilton_2025_5,2025,5,hamilton,ferrari,7,6.128139734296943,A,2018,2024,2025,0.95
sainz_2025_5,2025,5,sainz,williams,8,8.270586194439757,A,2018,2024,2025,0.95
albon_2025_5,2025,5,albon,williams,9,10.762970795974033,A,2018,2024,2025,0.95
hadjar_2025_5,2025,5,hadjar,rb,10,12.693699906119148,A,2018,2024,2025,0.95
alonso_2025_5,2025,5,alonso,aston_martin,11,11.696301872791514,A,2018,2024,2025,0.95
lawson_2025_5,2025,5,lawson,rb,12,11.576166508298146,A,2018,2024,2025,0.95
bearman_2025_5,2025,5,bearman,haas,13,12.421597009741735,A,2018,2024,2025,0.95
ocon_2025_5,2025,5,ocon,haas,14,14.48752886338659,A,2018,2024,2025,0.95
hulkenberg_2025_5,2025,5,hulkenberg,sauber,15,14.097504465750808,A,2018,2024,2025,0.95
stroll_2025_5,2025,5,stroll,aston_martin,16,13.006756012732136,A,2018,2024,2025,0.95
doohan_2025_5,2025,5,doohan,alpine,17,13.995094996102166,A,2018,2024,2025,0.95
bortoleto_2025_5,2025,5,bortoleto,sauber,18,16.165293783917555,A,2018,2024,2025,0.95
piastri_2025_6,2025,6,piastri,mclaren,1,3.505712939163597,A,2018,2024,2025,0.95
norris_2025_6,2025,6,norris,mclaren,2,3.122714993552627,A,2018,2024,2025,0.95
russell_2025_6,2025,6,russell,mercedes,3,4.697772252190264,A,2018,2024,2025,0.95
max_verstappen_2025_6,2025,6,max_verstappen,red_bull,4,2.018938849882295,A,2018,2024,2025,0.95
albon_2025_6,2025,6,albon,williams,5,9.056264450827722,A,2018,2024,2025,0.95
antonelli_2025_6,2025,6,antonelli,mercedes,6,4.454696304911497,A,2018,2024,2025,0.95
leclerc_2025_6,2025,6,leclerc,ferrari,7,5.828079661787741,A,2018,2024,2025,0.95
hamilton_2025_6,2025,6,hamilton,ferrari,8,7.082755139095928,A,2018,2024,2025,0.95
sainz_2025_6,2025,6,sainz,williams,9,8.45371685625645,A,2018,2024,2025,0.95
