decay,train_until,valid_season,n_train,n_valid,mae,rmse,r2,kendall_tau
0.5,2022,2023,1725,374,2.575695276260376,3.2707644088837107,0.5863325595855713,0.608607777436936
0.5,2023,2024,2099,425,2.333120346069336,3.043689960616058,0.6616404056549072,0.6510523653906007
0.65,2022,2023,1725,374,2.533388137817383,3.2219056891118414,0.5985990762710571,0.6213725582357724
0.65,2023,2024,2099,425,2.3016676902770996,2.9896988442110937,0.6735380291938782,0.6650167084377611
0.75,2022,2023,1725,374,2.572354316711426,3.233338415659682,0.5957452654838562,0.6253412847277188
0.75,2023,2024,2099,425,2.296323776245117,2.981697519170111,0.6752830743789673,0.6691167256376235
0.85,2022,2023,1725,374,2.518373489379883,3.175791910489103,0.6100069284439087,0.6267687538092829
0.85,2023,2024,2099,425,2.260859489440918,2.9471458982060086,0.6827651262283325,0.6761532098219405
0.88,2022,2023,1725,374,2.578972339630127,3.2464498056079707,0.5924600958824158,0.6122506078529159
0.88,2023,2024,2099,425,2.2245001792907715,2.9111632787318906,0.6904642581939697,0.6739765058070013
0.9,2022,2023,1725,374,2.5617175102233887,3.225658225376408,0.5976634621620178,0.6143230366281309
0.9,2023,2024,2099,425,2.2109158039093018,2.8923465035873495,0.6944527626037598,0.676901301456255
0.92,2022,2023,1725,374,2.5522634983062744,3.2179835619936332,0.5995756983757019,0.6216955918335034
0.92,2023,2024,2099,425,2.242528200149536,2.921074089398349,0.6883530616760254,0.6783279686143464
0.94,2022,2023,1725,374,2.5613410472869873,3.232333658633852,0.5959964990615845,0.621916397859263
0.94,2023,2024,2099,425,2.2255120277404785,2.924247716688367,0.6876754760742188,0.6697010090585942
0.95,2022,2023,1725,374,2.5214738845825195,3.193935554623387,0.6055380702018738,0.6249562372768114
0.95,2023,2024,2099,425,2.2342844009399414,2.9255920267477853,0.6873883008956909,0.674598772257441
0.96,2022,2023,1725,374,2.5228755474090576,3.2006938360939285,0.6038669943809509,0.6226461126827015
0.96,2023,2024,2099,425,2.2096433639526367,2.8991412107953343,0.693015456199646,0.6764465289039592
0.97,2022,2023,1725,374,2.5503594875335693,3.2141208878899086,0.6005364656448364,0.6168904820044702
0.97,2023,2024,2099,425,2.205846071243286,2.888008211668392,0.6953686475753784,0.6721215825511492
0.98,2022,2023,1725,374,2.55145001411438,3.220270038678321,0.5990065336227417,0.6181304864882123
0.98,2023,2024,2099,425,2.207446813583374,2.8865274616298326,0.6956809759140015,0.6710510958769472
0.99,2022,2023,1725,374,2.498262405395508,3.1560093249725933,0.6148505210876465,0.6307496440764102
0.99,2023,2024,2099,425,2.2234737873077393,2.9096185994012917,0.6907926797866821,0.6738359378839256
