experimento,anos_de_treino,mae,delta_mae_vs_a,rmse,r2,delta_r2_vs_a,kendall_tau,top3_accuracy,delta_top3_vs_a,train_start,train_end,valid_season,decay,n_train,n_test,corridas_treino,corridas_teste
A,2018-2024,2.3578957472561344,0.0,3.07045104321076,0.6476829797778665,0.0,0.641193665051761,0.2916666666666667,0.0,2018,2024,2025,0.95,2524,419,149,24
B,2019-2024,2.353328691711641,-0.004567055544493215,3.058206277445112,0.6504874129170511,0.002804433139184659,0.6390067339056543,0.2916666666666667,0.0,2019,2024,2025,0.95,2189,419,128,24
C,2020-2024,2.368628259071289,0.010732511815154666,3.0818500161135254,0.6450621876813215,-0.002620792096544977,0.6372054620429713,0.2916666666666667,0.0,2020,2024,2025,0.95,1829,419,107,24
D,2021-2024,2.381465366835754,0.023569619579619783,3.0912411674523446,0.6428957270515943,-0.004787252726272229,0.638126023013794,0.25,-0.041666666666666685,2021,2024,2025,0.95,1546,419,90,24
