alpha,score_composto,mae_medio,mae_std,rmse_medio,r2_medio,kendall_tau_medio
0.01,0.5374760024193019,2.2094275067878377,0.10173049466269755,2.89226490143026,0.6846498323000103,0.6685867022879759
0.014677992676220698,0.537475982320583,2.2094280309702126,0.10172915956670066,2.892265001398341,0.6846498226230131,0.6685867022879759
0.021544346900318832,0.5374759528171958,2.2094288003584666,0.10172719995853798,2.8922651482085002,0.6846498084020469,0.6685867022879759
0.03162277660168379,0.5374759095067556,2.2094299296525164,0.10172432374354902,2.8922653638623923,0.6846497874917366,0.6685867022879759
0.046415888336127774,0.5374758459241121,2.209431587200492,0.10172010224504273,2.8922656807566964,0.6846497567203573,0.6685867022879759
0.06812920690579612,0.5374757525725453,2.2094340200857356,0.10171390638015311,2.8922661466643222,0.6846497113834722,0.6685867022879759
0.1,0.5374756154973219,2.209437590938431,0.10170481305820286,2.89226683218235,0.6846496444704462,0.6685867022879759
0.1467799267622069,0.5374754141824261,2.209442831943929,0.10169146796322952,2.892267841957796,0.6846495454640514,0.6685867022879759
0.21544346900318834,0.5374751184428774,2.2094505240651374,0.10167188451420398,2.8922693317961796,0.6846493984386257,0.6685867022879759
0.31622776601683794,0.5374746838192286,2.2094618132158015,0.101643149570445,2.892271535129522,0.6846491789680516,0.6685867022879759
0.46415888336127775,0.5374740447231147,2.20947838054588,0.10160099316770922,2.892274804774198,0.6846488489427679,0.6685867022879759
0.6812920690579611,0.5374731041739788,2.2095026918884937,0.10153916063108893,2.892279680446483,0.6846483475826621,0.6685867022879759
1.0,0.5374717183027433,2.209538362842988,0.10144849879808247,2.892287001138067,0.6846475753020826,0.6685867022879759
1.467799267622069,0.5374696726882283,2.2095906924251363,0.10131563154208886,2.892298098252904,0.6846463637733857,0.6685867022879759
2.154434690031882,0.5374367413781314,2.2096674417466273,0.10112105146125958,2.892315138558705,0.6846444187877339,0.6683474678382151
6.812920690579608,0.537415458081047,2.21018635687215,0.09981461214932505,2.8924536585042793,0.6846261397361397,0.6683474678382151
3.1622776601683795,0.5374017881361328,2.209779967533705,0.1008363947560542,2.892341751776417,0.6846412087933897,0.6681038031208661
4.6415888336127775,0.537395079608597,2.2099448671162847,0.10042060128491506,2.8923842075047492,0.6846357443981477,0.6681038031208661
10.0,0.5373297922028811,2.210552947226695,0.09895301065830499,2.892570442868629,0.6846087428524945,0.6677879836777247
14.67799267622069,0.5372201900080618,2.2112256911537194,0.0978249462521268,2.8927722906156017,0.6845764338841972,0.6671410343078652
31.622776601683793,0.5371206856673624,2.2139334928718095,0.09400306758836542,2.893773846326367,0.6843989881577295,0.6673273056531922
21.54434690031882,0.5370855610174812,2.212300712995937,0.09620891988270118,2.8931296993556606,0.68451537175484,0.6664423876243114
46.41588833612777,0.5368199229893891,2.216383554203625,0.0908819063049644,2.8949449580373767,0.6841774164353478,0.6658856491128515
68.12920690579608,0.5363761687745416,2.2199964088558035,0.08673098771457373,2.897070880074,0.6837600390735127,0.6638703642028296
100.0,0.5360435142487637,2.2254051896347047,0.08124572168662149,2.900883170638987,0.6829891936785725,0.6636852469608239
