modelo,mae,rmse,r2,kendall_tau,top3_accuracy,train_until,valid_season,decay,n_train,n_valid
xgboost_tuned,2.4309120178222656,3.068878382466009,0.6358233690261841,0.6435320027566017,0.1818181818181818,2022,2023,0.95,1725,374
xgboost_tuned,2.1820640563964844,2.867345488558509,0.6997121572494507,0.6826552697102232,0.1666666666666666,2023,2024,0.95,2099,425
xgboost_tuned,2.3896636962890625,3.104842827054679,0.6397462487220764,0.6293475802376731,0.375,2024,2025,0.95,2524,419
random_forest_tuned,2.37741304919464,3.0366457256654527,0.6434330815446119,0.6382180794156589,0.1818181818181818,2022,2023,0.95,1725,374
random_forest_tuned,2.18960043657208,2.892333932421745,0.6944554578691571,0.6801772609628648,0.125,2023,2024,0.95,2099,425
random_forest_tuned,2.4155682176742443,3.1298330676253325,0.6339236950013518,0.6350077052863431,0.3333333333333333,2024,2025,0.95,2524,419
lightgbm_tuned,2.3957976458416894,3.0688585620924864,0.6358280100533349,0.6421665553385226,0.2272727272727272,2022,2023,0.95,1725,374
lightgbm_tuned,2.1862365478243766,2.8854197954766865,0.6959145229663063,0.6818064360247021,0.2083333333333333,2023,2024,0.95,2099,425
lightgbm_tuned,2.3578957472561344,3.07045104321076,0.6476829797778665,0.641193665051761,0.2916666666666667,2024,2025,0.95,2524,419
