mae,rmse,r2,kendall_tau,top3_accuracy,train_until,valid_season,decay,n_train,n_valid
2.3957976458416894,3.0688585620924864,0.6358280100533349,0.6421665553385226,0.22727272727272727,2022,2023,0.95,1725,374
2.1862365478243766,2.8854197954766865,0.6959145229663063,0.6818064360247021,0.20833333333333334,2023,2024,0.95,2099,425
2.3578957472561344,3.07045104321076,0.6476829797778665,0.641193665051761,0.2916666666666667,2024,2025,0.95,2524,419
