mae,rmse,r2,kendall_tau,top3_accuracy,experimento,cenario,train_until,valid_season,decay,n_features,n_train,n_valid,mae_medio,rmse_medio,r2_medio,kendall_tau_medio,top3_accuracy_medio,delta_mae_medio_vs_base
2.451035976409912,3.090837282733823,0.6305930614471436,0.6443198887612059,0.18181818181818182,A,base_15_features,2022,2023,0.95,15,1725,374,2.346383253733317,3.0224632883564033,0.6562847296396891,0.6523339892968845,0.24116161616161616,0.0
2.174837350845337,2.8595289178497643,0.7013471126556396,0.6854155404851999,0.16666666666666666,A,base_15_features,2023,2024,0.95,15,2099,425,2.346383253733317,3.0224632883564033,0.6562847296396891,0.6523339892968845,0.24116161616161616,0.0
2.413276433944702,3.1170236644856226,0.6369140148162842,0.6272665386442476,0.375,A,base_15_features,2024,2025,0.95,15,2524,419,2.346383253733317,3.0224632883564033,0.6562847296396891,0.6523339892968845,0.24116161616161616,0.0
2.4261491298675537,3.0638958610884957,0.6370049118995667,0.6444678363197924,0.18181818181818182,B,sem_driver_dnf_rate,2022,2023,0.95,14,1725,374,2.322897036870321,3.0029328897821266,0.6608089009920756,0.6521983383755127,0.24116161616161616,-0.023486216862996123
2.1590566635131836,2.8516691841130726,0.7029865980148315,0.6778240535980474,0.16666666666666666,B,sem_driver_dnf_rate,2023,2024,0.95,14,2099,425,2.322897036870321,3.0029328897821266,0.6608089009920756,0.6521983383755127,0.24116161616161616,-0.023486216862996123
2.3834853172302246,3.0932336241448106,0.6424351930618286,0.634303125208698,0.375,B,sem_driver_dnf_rate,2024,2025,0.95,14,2524,419,2.322897036870321,3.0029328897821266,0.6608089009920756,0.6521983383755127,0.24116161616161616,-0.023486216862996123
2.441188097000122,3.076969917564387,0.6339004039764404,0.6412790316603996,0.18181818181818182,C,sem_constructor_dnf_rate,2022,2023,0.95,14,1725,374,2.335602045059204,3.0147601884191384,0.657991886138916,0.6497029689167788,0.22727272727272727,-0.010781208674112808
2.1658127307891846,2.845772495615515,0.7042137384414673,0.6828906416367717,0.16666666666666666,C,sem_constructor_dnf_rate,2023,2024,0.95,14,2099,425,2.335602045059204,3.0147601884191384,0.657991886138916,0.6497029689167788,0.22727272727272727,-0.010781208674112808
2.3998053073883057,3.121538152077512,0.6358615159988403,0.6249392334531653,0.3333333333333333,C,sem_constructor_dnf_rate,2024,2025,0.95,14,2524,419,2.335602045059204,3.0147601884191384,0.657991886138916,0.6497029689167788,0.22727272727272727,-0.010781208674112808
2.4432859420776367,3.0919315118446575,0.6303314566612244,0.6430176517356365,0.18181818181818182,D,sem_duas_dnf_rates,2022,2023,0.95,13,1725,374,2.335587739944458,3.0229091757755735,0.6561622619628906,0.647943600668997,0.24116161616161616,-0.010795513788858901
2.1673684120178223,2.857506647110598,0.7017693519592285,0.6776218528347012,0.16666666666666666,D,sem_duas_dnf_rates,2023,2024,0.95,13,2099,425,2.335587739944458,3.0229091757755735,0.6561622619628906,0.647943600668997,0.24116161616161616,-0.010795513788858901
2.396108865737915,3.119289368371465,0.636385977268219,0.6231912974366535,0.375,D,sem_duas_dnf_rates,2024,2025,0.95,13,2524,419,2.335587739944458,3.0229091757755735,0.6561622619628906,0.647943600668997,0.24116161616161616,-0.010795513788858901
