rank,feature,gain_medio_norm,gain_medio,weight_medio,gain_2023,gain_norm_2023,weight_2023,gain_2024,gain_norm_2024,weight_2024,gain_2025,gain_norm_2025,weight_2025
1,qualifying_position,1.0,790.4632771809896,275.3333333333333,631.8771362304688,1.0,278.0,778.0602416992188,1.0,272.0,961.4524536132812,1.0,276.0
2,constructor_coef_rapm,0.2765713149150408,229.44304402669272,287.3333333333333,239.55630493164062,0.355686150095678,295.0,237.57594299316406,0.2795525556035928,280.0,211.19688415527344,0.19447523904585162,287.0
3,recent_form_5,0.16953881243240954,165.9747517903646,240.66666666666666,72.34202575683594,0.08106785970968819,228.0,154.3507537841797,0.1686161694429479,246.0,271.2314758300781,0.2589324081445925,248.0
4,driver_constructor_synergy,0.12892182960718587,121.71381123860677,156.0,114.59613800048828,0.15046236431416066,158.0,141.56997680664062,0.15157982235032644,156.0,108.9753189086914,0.08472330215707044,154.0
5,constructor_wins_total,0.04306860331972556,61.0476188659668,76.33333333333333,48.39781951904297,0.04174396336469807,58.0,47.044681549072266,0.025580773789310268,79.0,87.70035552978516,0.06188107280516835,92.0
6,driver_coef_rapm,0.015356940600319072,38.14848836263021,210.33333333333334,36.26771545410156,0.021822528084425186,222.0,37.48386001586914,0.012836519318983008,216.0,40.69388961791992,0.011411774397549023,193.0
7,track_complexity,0.014016757948829681,37.40709431966146,221.33333333333334,33.88070297241211,0.0179023049426784,218.0,36.4227294921875,0.011422067917179696,215.0,41.917850494384766,0.012725900986630952,231.0
8,tire_compound_start,0.011647463185816623,36.483412424723305,56.333333333333336,26.73674774169922,0.006169689870962503,51.0,36.15154266357422,0.011060584969208507,63.0,46.561946868896484,0.017712114717278855,55.0
9,season_factor,0.010977071632323707,36.26562309265137,24.666666666666668,28.217313766479492,0.008601243638590762,22.0,27.85382080078125,0.0,21.0,52.72573471069336,0.024329971258380365,31.0
10,avg_pit_stops_circuit,0.00849560126839749,32.72299830118815,180.66666666666666,33.16960144042969,0.016734453201980318,181.0,32.28995895385742,0.005913223386922642,191.0,32.709434509277344,0.0028391272162895096,170.0
11,constructor_dnf_rate,0.008074109593259634,32.76574579874674,268.0,30.017147064208984,0.011557134401278247,297.0,33.795814514160156,0.007920478348162965,274.0,34.484275817871094,0.004744716030337691,233.0
12,grid_penalty,0.007367410804144378,32.24258677164713,92.0,29.12289047241211,0.010088484608822825,91.0,34.07933044433594,0.008298395575045995,89.0,33.52553939819336,0.0037153522285643167,96.0
13,altitude_m,0.00683921649040583,31.554127375284832,109.66666666666667,30.77276611328125,0.01279809786721758,92.0,32.90211868286133,0.0067292117761859485,119.0,30.987497329711914,0.0009903398278139643,118.0
14,incident_rate_hist_norm,0.00375101875064585,29.523670196533203,52.666666666666664,27.1556453704834,0.00685765115770882,41.0,30.327392578125,0.00329718822505069,54.0,31.08797264099121,0.0010982168691780394,63.0
15,driver_dnf_rate,0.0012927621428846109,27.936161677042644,151.33333333333334,22.98004150390625,0.0,176.0,30.763336181640625,0.0038782864286538324,137.0,30.065107345581055,0.0,141.0
